Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2024-01-04, 18:55:30,  -07:00,   KPRC,   34.6415634, -112.4151077,5150.4,30.03,  5175.9,3.0,62.02,  58.16,-249.15,-2.19,0.29,0.02,0.04,304.0, 305.0,  28.2,  28.2,   1.6,   0.0,  14.54,  15.81,     5.85,  148.26,   68.39, 1842.7,  267.63,  267.22,  279.66,  286.93, 1187.60, 1207.39, 1198.09, 1190.29,  5087.5,67.0,  GPS,126.0,114.1,114.1,121.7,125.3, -0.405,       ,  10.39, -52.1,    0.8,  -24.4,10.0,      0,  NONE,   NONE,      ,      , -586.6, 3DDiff,1852.0,      ,     10,  18.0,     18,2024-01-04 18:55:30
2024-01-04, 18:55:31,  -07:00,   KPRC,   34.6417580, -112.4153366,5137.4,30.03,  5164.1,3.0,61.85,  58.74,-385.68,-1.63,2.3,0.01,-0.01,305.2, 305.5,  28.2,  28.2,   1.6,   0.0,  14.47,  15.79,     5.79,  148.20,   68.57, 1845.5,  267.66,  267.19,  279.68,  286.93, 1186.18, 1205.17, 1195.93, 1189.23,  5075.7,66.0,  GPS,126.0,114.1,114.1,121.7,125.3, -0.405,       ,  10.26, -52.3,    0.8,  -23.8,10.0,      0,  NONE,   NONE,      ,      , -594.5, 3DDiff,1852.0,      ,     10,  18.5,     18,2024-01-04 18:55:31
2024-01-04, 18:55:32,  -07:00,   KPRC,   34.6419601, -112.4155731,5126.4,30.03,  5154.8,3.0,60.38,  59.35,-493.03,-1.86,4.81,0.1,0.03,306.1, 306.8,  28.2,  28.2,   1.6,   0.0,  14.39,  15.79,     5.79,  148.15,   68.69, 1847.1,  267.69,  267.17,  279.70,  286.92, 1184.14, 1203.49, 1194.09, 1189.11,  5066.4,65.0,  GPS,126.0,114.1,114.1,121.7,125.3, -0.405,       ,  10.13, -52.4,    0.8,  -23.2,10.0,      0,  NONE,   NONE,      ,      , -555.1, 3DDiff,1852.0,      ,     10,  18.5,     18,2024-01-04 18:55:32
2024-01-04, 18:55:33,  -07:00,   KPRC,   34.6421661, -112.4157944,5120.4,30.03,  5146.3,3.0,62.82,  59.93,-538.91,-0.96,-4.47,-0.01,0.17,304.7, 308.0,  28.2,  28.2,   1.6,   0.0,  14.57,  15.71,     5.82,  148.10,   68.60, 1848.4,  267.72,  267.14,  279.72,  286.93, 1182.70, 1202.20, 1193.46, 1188.04,  5057.9,67.0,  GPS,126.0,114.1,114.1,121.7,125.3, -0.405,       ,   9.99, -52.5,    0.8,  -22.6,10.0,      0,  NONE,   NONE,      ,      , -496.1, 3DDiff,1852.0,      ,     10,  18.5,     18,2024-01-04 18:55:33
2024-01-04, 18:55:34,  -07:00,   KPRC,   34.6423721, -112.4160233,5114.4,30.03,  5139.2,3.0,62.89,  60.20,-463.96,-1.57,0.09,0.04,-0.06,305.9, 307.4,  28.2,  28.2,   1.6,   0.0,  14.54,  15.69,     5.77,  148.05,   68.50, 1848.6,  267.73,  267.11,  279.72,  286.92, 1182.54, 1201.88, 1194.19, 1187.25,  5050.8,68.0,  GPS,126.0,114.1,114.1,121.7,125.3, -0.404,       ,   9.84, -52.7,    0.8,  -22.0,10.0,      0,  NONE,   NONE,      ,      , -421.3, 3DDiff,1852.0,      ,     10,  19.0,     18,2024-01-04 18:55:34
2024-01-04, 18:55:35,  -07:00,   KPRC,   34.6425781, -112.4162521,5103.4,30.03,  5133.0,3.0,62.84,  60.34,-513.89,-0.37,-5.09,0.04,0.11,305.4, 307.6,  28.2,  28.2,   1.6,   0.0,  14.49,  15.62,     5.80,  148.00,   68.52, 1852.7,  267.75,  267.09,  279.73,  286.90, 1182.63, 1202.05, 1194.99, 1187.57,  5044.6,67.0,  GPS,126.0,114.1,114.1,121.7,125.3, -0.404,       ,   9.70, -52.9,    0.7,  -21.3,10.0,      0,  NONE,   NONE,      ,      , -405.5, 3DDiff,1852.0,      ,     10,  18.0,     18,2024-01-04 18:55:35
2024-01-04, 18:55:36,  -07:00,   KPRC,   34.6427803, -112.4164886,5099.4,30.03,  5127.6,3.0,63.11,  60.24,-476.71,-0.63,-8.03,0.0,0.02,303.5, 306.5,  28.1,  28.2,   1.6,   0.1,  14.49,  15.62,     4.27,  147.96,   66.70, 1660.2,  267.77,  267.08,  279.72,  286.89, 1180.32, 1197.06, 1191.22, 1186.31,  5039.2,68.0,  GPS,126.0,114.1,114.1,121.7,125.3, -0.404,       ,   9.56, -53.2,    0.7,  -20.6,10.0,      0,  NONE,   NONE,      ,      , -334.6, 3DDiff,1852.0,      ,     10,  18.0,     18,2024-01-04 18:55:36
2024-01-04, 18:55:37,  -07:00,   KPRC,   34.6429749, -112.4167175,5093.4,30.03,  5122.0,3.0,62.03,  59.70,-383.9,-3.69,-7.12,0.02,-0.11,305.5, 304.8,  28.2,  28.2,   1.6,   0.0,  14.52,  15.62,     3.65,  147.92,   63.53, 1477.7,  267.78,  267.07,  279.74,  286.89, 1173.36, 1184.41, 1184.35, 1179.87,  5033.6,67.0,  GPS,126.0,114.1,114.1,121.7,125.3, -0.404,       ,   9.42, -53.5,    0.7,  -19.9,10.0,      0,  NONE,   NONE,      ,      , -440.9, 3DDiff,1852.0,      ,     10,  18.5,     18,2024-01-04 18:55:37
2024-01-04, 18:55:38,  -07:00,   KPRC,   34.6431656, -112.4169617,5079.4,30.03,  5111.1,3.2,59.61,  59.62,-502.6,-2.27,0.88,0.06,0.13,306.5, 304.1,  28.2,  28.2,   1.6,   0.0,  14.61,  15.62,     2.89,  147.88,   62.09, 1374.9,  267.80,  267.06,  279.75,  286.89, 1171.37, 1178.73, 1180.36, 1172.33,  5022.7,64.0,  GPS,126.0,114.1,114.1,121.7,125.3, -0.404,       ,   9.27, -53.7,    0.7,  -19.1,10.0,      0,  NONE,   NONE,      ,      , -657.5, 3DDiff,1852.0,      ,     10,  18.5,     18,2024-01-04 18:55:38
2024-01-04, 18:55:39,  -07:00,   KPRC,   34.6433601, -112.4171982,5069.4,30.03,  5100.4,3.2,59.32,  59.64,-632.95,-4.66,1.97,0.01,-0.2,304.4, 304.9,  28.2,  28.2,   1.6,   0.0,  14.71,  15.62,     1.39,  147.86,   57.62, 1078.9,  267.81,  267.08,  279.75,  286.89, 1121.11, 1133.66, 1137.66, 1129.88,  5012.0,64.0,  GPS,126.0,114.1,114.1,121.7,125.3, -0.405,       ,   9.09, -53.8,    0.7,  -18.3,10.0,      0,  NONE,   NONE,      ,      , -653.5, 3DDiff,1852.0,      ,     10,  18.5,     18,2024-01-04 18:55:39
