Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2023-10-28, 11:22:41,  -07:00,   KPRC,   35.0460052, -112.6601257,6523.4,30.03,  6546.2,10.2,69.81,  58.26,-601.87,-0.23,-12.59,-0.01,-0.13,200.9, 203.6,  28.1,  28.2,   0.8,   0.0,  17.16,  17.56,     0.94,  167.87,   56.66, 1035.9,  231.90,  249.66,  248.36,  262.70,  776.58,  907.95,  891.17,  951.01,  6460.9,78.0, NAV1,148.6,114.1,114.1,121.7,123.5, -0.697,       ,  21.20, -160.6,   26.3,  142.8,10.2,      0,  NONE,   NONE,      ,      , -744.1, 3DDiff,1852.0,      ,     12,  14.5,     17,2023-10-28 11:22:41
2023-10-28, 11:22:42,  -07:00,   KPRC,   35.0457726, -112.6602936,6500.4,30.03,  6530.3,10.5,67.53,  58.26,-861.19,-0.68,-14.06,0.08,-0.07,200.2, 200.3,  28.1,  28.2,   0.8,   0.0,  17.16,  17.56,     0.94,  167.83,   57.10, 1057.1,  231.28,  249.13,  247.81,  262.14,  788.31,  904.12,  890.28,  942.18,  6445.0,75.0, NAV1,148.6,114.1,114.1,121.7,123.5, -0.690,       ,  21.29, -161.2,   26.3,  142.8,10.2,      0,  NONE,   NONE,      ,      , -909.4, 3DDiff,1852.0,      ,     12,  14.5,     17,2023-10-28 11:22:42
2023-10-28, 11:22:43,  -07:00,   KPRC,   35.0455284, -112.6604385,6479.4,30.03,  6510.8,10.5,67.73,  58.70,-1123.95,-1.31,-14.37,0.05,-0.04,195.9, 196.9,  28.1,  28.2,   0.8,  -0.0,  17.16,  17.43,     1.89,  167.78,   60.17, 1231.1,  230.69,  248.58,  247.26,  261.56,  812.17,  918.38,  911.30,  961.15,  6425.5,76.0, NAV1,148.6,114.1,114.1,121.7,123.5, -0.687,       ,  21.35, -161.6,   26.3,  142.7,10.2,      0,  NONE,   NONE,      ,      , -1082.7, 3DDiff,1852.0,      ,     12,  14.0,     16,2023-10-28 11:22:43
2023-10-28, 11:22:44,  -07:00,   KPRC,   35.0452766, -112.6605759,6466.4,30.03,  6489.1,10.5,70.36,  59.42,-1099.67,-1.35,-11.68,-0.01,0.05,189.6, 193.6,  28.1,  28.2,   0.8,  -0.0,  17.05,  17.24,     4.46,  167.74,   65.24, 1567.1,  230.16,  248.04,  246.72,  261.00,  849.11,  944.13,  937.74,  982.27,  6403.8,79.0, NAV1,148.6,114.1,114.1,121.7,123.5, -0.689,       ,  21.36, -162.0,   26.3,  142.7,10.2,      0,  NONE,   NONE,      ,      , -1259.8, 3DDiff,1852.0,      ,     12,  14.0,     17,2023-10-28 11:22:44
2023-10-28, 11:22:45,  -07:00,   KPRC,   35.0450096, -112.6606903,6455.4,30.03,  6468.7,10.5,72.69,  60.92,-922.87,-1.65,-10.18,-0.06,0.1,184.4, 189.5,  28.2,  28.2,   0.8,   0.0,  16.94,  17.05,     7.98,  167.69,   72.70, 1993.2,  229.54,  247.51,  246.17,  260.45,  901.82,  985.27,  990.07, 1017.38,  6383.4,81.0, NAV1,148.6,114.1,114.1,121.7,123.5, -0.676,       ,  21.36, -162.4,   26.2,  142.7,10.2,      0,  NONE,   NONE,      ,      , -1224.4, 3DDiff,1852.0,      ,     12,  14.0,     17,2023-10-28 11:22:45
2023-10-28, 11:22:46,  -07:00,   KPRC,   35.0447235, -112.6607971,6441.4,30.03,  6450.3,10.5,75.57,  63.29,-842.6,-0.74,-8.33,-0.06,0.21,180.9, 185.4,  28.1,  28.2,   0.8,   0.0,  16.94,  16.78,     9.58,  167.61,   76.16, 2293.1,  229.05,  246.99,  245.62,  259.89,  969.12, 1039.80, 1045.09, 1062.88,  6365.0,84.0, NAV1,148.6,114.1,114.1,121.7,123.5, -0.658,       ,  21.34, -162.8,   26.2,  142.7,10.2,      0,  NONE,   NONE,      ,      , -1122.0, 3DDiff,1852.0,      ,     12,  14.5,     17,2023-10-28 11:22:46
2023-10-28, 11:22:47,  -07:00,   KPRC,   35.0444221, -112.6608734,6427.4,30.03,  6436.7,10.5,78.82,  65.94,-848.49,1.69,-6.71,-0.05,0.19,178.6, 181.7,  28.1,  28.2,   0.8,  -0.0,  16.94,  16.49,     6.31,  167.51,   73.42, 2121.0,  228.54,  246.46,  245.09,  259.35, 1031.52, 1087.78, 1097.56, 1102.90,  6351.4,88.0, NAV1,148.6,114.1,114.1,121.7,123.5, -0.647,       ,  21.33, -163.3,   26.2,  142.6,10.2,      0,  NONE,   NONE,      ,      , -850.4, 3DDiff,1852.0,      ,     12,  14.5,     17,2023-10-28 11:22:47
2023-10-28, 11:22:48,  -07:00,   KPRC,   35.0441170, -112.6609268,6417.4,30.03,  6429.5,10.5,79.79,  66.67,-784.88,0.93,-4.98,-0.01,-0.04,179.0, 178.9,  28.1,  28.2,   0.8,  -0.0,  16.94,  16.28,     2.15,  167.34,   62.68, 1520.1,  228.03,  245.95,  244.60,  258.82, 1011.17, 1065.93, 1070.03, 1073.16,  6344.2,89.0, NAV1,148.6,114.1,114.1,121.7,123.5, -0.641,       ,  21.32, -163.9,   26.2,  142.6,10.2,      0,  NONE,   NONE,      ,      , -515.7, 3DDiff,1852.0,      ,     12,  14.5,     17,2023-10-28 11:22:48
2023-10-28, 11:22:49,  -07:00,   KPRC,   35.0438156, -112.6609726,6404.4,30.03,  6421.2,10.5,78.77,  65.99,-708.71,1.4,-6.32,0.05,-0.02,180.8, 177.2,  28.1,  28.2,   0.8,   0.0,  16.94,  16.28,     1.10,  167.17,   60.12, 1276.8,  227.63,  245.48,  244.15,  258.34,  951.25, 1017.22, 1022.17, 1022.09,  6335.9,88.0, NAV1,148.6,114.1,114.1,121.7,123.5, -0.632,       ,  21.32, -164.5,   26.2,  142.6,10.2,      0,  NONE,   NONE,      ,      , -511.8, 3DDiff,1852.0,      ,     12,  14.0,     16,2023-10-28 11:22:49
2023-10-28, 11:22:50,  -07:00,   KPRC,   35.0435143, -112.6610107,6388.4,30.03,  6411.6,10.8,75.52,  65.31,-833.79,0.01,-3.23,0.04,-0.12,180.6, 176.0,  28.1,  28.1,   0.7,   0.0,  16.92,  16.20,     0.99,  167.00,   58.91, 1175.4,  227.24,  245.04,  243.74,  257.86,  917.61,  983.83, 1000.70,  992.57,  6326.3,84.0, NAV1,148.6,114.1,114.1,121.7,123.5, -0.623,       ,  21.32, -165.1,   26.2,  142.6,10.2,      0,  NONE,   NONE,      ,      , -563.0, 3DDiff,1852.0,      ,     12,  14.0,     17,2023-10-28 11:22:50
