Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2023-11-05, 09:22:22,  -07:00,   KPRC,   34.6772118, -112.3953934,5366.1,30.22,  5376.0,17.5,64.4,  72.21,-542.27,-3.41,0.09,-0.01,-0.01,209.5, 208.5,  28.1,  28.2,   0.7,   0.0,  14.08,  18.89,     3.69,  171.64,   62.98, 1619.0,  296.01,  297.51,  304.58,  313.82, 1163.49, 1168.79, 1172.47, 1157.47,  5288.3,71.0, NAV1,142.5,114.1,114.1,122.825,125.3,  4.758,       ,   7.38, 135.5,    1.8, -148.7,10.1,      0,  NONE,   NONE,      ,      , -586.6, 3DDiff,1852.0,      ,     14,  18.5,     28,2023-11-05 09:22:22
2023-11-05, 09:22:23,  -07:00,   KPRC,   34.6769485, -112.3956451,5356.1,30.22,  5367.8,17.5,64.47,  72.41,-569.74,-2.92,1.42,-0.01,-0.01,210.1, 208.3,  28.1,  28.1,   0.7,   0.0,  14.13,  18.97,     3.73,  171.62,   62.87, 1611.9,  295.54,  297.14,  304.20,  313.45, 1165.56, 1172.67, 1176.60, 1161.91,  5280.1,71.0, NAV1,142.5,114.1,114.1,122.825,125.3,  4.734,       ,   6.92, 134.9,    1.8, -148.7,10.1,      0,  NONE,   NONE,      ,      , -606.3, 3DDiff,1852.0,      ,     14,  18.5,     27,2023-11-05 09:22:23
2023-11-05, 09:22:24,  -07:00,   KPRC,   34.6766853, -112.3958969,5345.1,30.22,  5358.6,17.2,64.62,  72.54,-605.82,-2.56,1.21,-0.01,0.04,211.2, 208.3,  28.1,  28.1,   0.6,   0.0,  14.13,  18.97,     3.69,  171.59,   62.99, 1623.9,  295.10,  296.79,  303.84,  313.07, 1166.65, 1175.63, 1179.46, 1165.80,  5270.9,71.0, NAV1,142.5,114.1,114.1,122.825,125.3,  4.720,       ,   6.44, 134.1,    1.7, -148.7,10.1,      0,  NONE,   NONE,      ,      , -590.6, 3DDiff,1852.0,      ,     14,  18.5,     27,2023-11-05 09:22:24
2023-11-05, 09:22:25,  -07:00,   KPRC,   34.6764221, -112.3961563,5334.1,30.22,  5349.7,17.2,64.31,  72.64,-636.42,-2.66,1.66,0.02,-0.01,211.7, 208.5,  28.1,  28.2,   0.7,  -0.0,  14.20,  18.91,     3.68,  171.56,   62.87, 1618.2,  294.65,  296.44,  303.48,  312.69, 1167.57, 1178.81, 1182.62, 1168.80,  5262.0,71.0, NAV1,142.5,114.1,114.1,122.825,125.3,  4.703,       ,   5.94, 133.2,    1.7, -148.6,10.1,      0,  NONE,   NONE,      ,      , -551.2, 3DDiff,1852.0,      ,     14,  19.0,     27,2023-11-05 09:22:25
2023-11-05, 09:22:26,  -07:00,   KPRC,   34.6761589, -112.3964081,5327.1,30.22,  5340.9,17.0,64.23,  72.74,-587.29,-2.55,1.24,-0.02,-0.01,210.9, 208.8,  28.1,  28.2,   0.7,   0.0,  14.20,  18.91,     3.73,  171.53,   63.02, 1616.5,  294.21,  296.08,  303.14,  312.31, 1168.19, 1181.70, 1184.83, 1171.35,  5253.2,71.0, NAV1,142.5,114.1,114.1,122.825,125.3,  4.680,       ,   5.42, 132.2,    1.7, -148.6,10.1,      0,  NONE,   NONE,      ,      , -543.3, 3DDiff,1852.0,      ,     14,  19.0,     27,2023-11-05 09:22:26
2023-11-05, 09:22:27,  -07:00,   KPRC,   34.6758957, -112.3966675,5319.1,30.22,  5332.3,17.0,64.03,  72.76,-534.82,-2.26,0.68,-0.04,0.01,211.1, 208.9,  28.1,  28.2,   0.7,   0.0,  14.22,  18.79,     3.73,  171.50,   62.85, 1614.2,  293.79,  295.74,  302.77,  311.96, 1168.99, 1183.72, 1187.12, 1173.77,  5244.6,70.0, NAV1,142.5,114.1,114.1,122.825,125.3,  4.665,       ,   4.91, 130.9,    1.7, -148.6,10.1,      0,  NONE,   NONE,      ,      , -531.5, 3DDiff,1852.0,      ,     14,  19.5,     28,2023-11-05 09:22:27
2023-11-05, 09:22:28,  -07:00,   KPRC,   34.6756363, -112.3969269,5310.1,30.22,  5323.3,16.8,64.27,  72.68,-529.98,-1.07,3.85,-0.04,0.07,211.6, 209.0,  28.1,  28.1,   0.7,  -0.0,  14.22,  18.63,     3.72,  171.46,   62.85, 1613.9,  293.37,  295.40,  302.46,  311.60, 1170.49, 1184.72, 1187.73, 1174.73,  5235.6,71.0, NAV1,142.5,114.1,114.1,122.825,125.3,  4.649,       ,   4.39, 129.2,    1.7, -148.6,10.1,      0,  NONE,   NONE,      ,      , -515.7, 3DDiff,1852.0,      ,     14,  18.5,     28,2023-11-05 09:22:28
2023-11-05, 09:22:29,  -07:00,   KPRC,   34.6753769, -112.3971863,5302.1,30.22,  5313.6,16.5,64.35,  72.41,-514.23,-1.0,5.7,-0.01,-0.01,212.4, 209.9,  28.1,  28.2,   0.7,   0.0,  14.22,  18.45,     3.75,  171.43,   62.97, 1615.0,  292.97,  295.06,  302.12,  311.24, 1170.28, 1186.37, 1187.69, 1174.88,  5225.9,71.0, NAV1,142.5,114.1,114.1,122.825,125.3,  4.623,       ,   3.88, 127.2,    1.6, -148.5,10.1,      0,  NONE,   NONE,      ,      , -440.9, 3DDiff,1852.0,      ,     14,  18.5,     27,2023-11-05 09:22:29
2023-11-05, 09:22:30,  -07:00,   KPRC,   34.6751289, -112.3974533,5296.1,30.22,  5305.6,16.5,63.7,  71.94,-469.44,-0.79,5.86,-0.04,-0.01,212.1, 211.1,  28.1,  28.2,   0.7,   0.0,  14.22,  18.25,     3.75,  171.39,   62.89, 1618.1,  292.56,  294.75,  301.80,  310.90, 1169.88, 1186.92, 1188.41, 1176.19,  5217.9,70.0, NAV1,142.5,114.1,114.1,122.825,125.3,  4.600,       ,   3.39, 124.5,    1.6, -148.5,10.1,      0,  NONE,   NONE,      ,      , -444.9, 3DDiff,1852.0,      ,     14,  18.5,     27,2023-11-05 09:22:30
2023-11-05, 09:22:31,  -07:00,   KPRC,   34.6748848, -112.3977203,5292.1,30.22,  5297.2,16.2,64.11,  71.46,-386.87,-1.26,5.0,-0.05,-0.04,212.4, 212.2,  28.1,  28.1,   0.7,   0.0,  14.27,  18.07,     3.73,  171.35,   62.83, 1608.7,  292.16,  294.42,  301.49,  310.55, 1169.98, 1187.56, 1188.91, 1178.05,  5209.5,70.0, NAV1,142.5,114.1,114.1,122.825,125.3,  4.582,       ,   2.93, 121.3,    1.6, -148.5,10.1,      0,  NONE,   NONE,      ,      , -484.3, 3DDiff,1852.0,      ,     14,  19.0,     27,2023-11-05 09:22:31
