Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2023-12-07, 21:49:08,  -07:00,   KPRC,   34.6822472, -112.4053574,5634.5,29.99,  5651.9,8.5,69.49,  67.72,-308.78,-1.52,24.46,-0.02,-0.02,135.6, 122.7,  28.1,  28.1,   0.7,   0.1,  17.51,  15.67,     4.93,  162.37,   66.60, 1811.8,  326.38,  326.86,  331.23,  342.00, 1188.14, 1180.80, 1192.57, 1178.80,  5564.1,76,  GPS,218.3,114.1,114.1,121.7,125.3, -0.771,       ,  16.63, -168.1,    1.8, -167.4,10.1,      0,  NONE,   NONE,      ,      , -405.5, 3DDiff,1852.0,      ,     10,  13.5,     16,2023-12-07 21:49:08
2023-12-07, 21:49:09,  -07:00,   KPRC,   34.6820145, -112.4051132,5625.5,29.99,  5641.0,8.5,68.91,  66.30,-345.21,-0.37,24.99,0.04,0.22,142.3, 129.3,  28.1,  28.1,   0.7,   0.1,  17.59,  15.67,     4.89,  162.39,   66.62, 1812.2,  325.58,  326.12,  330.52,  341.33, 1191.56, 1186.50, 1197.67, 1186.75,  5553.2,75,  GPS,218.3,114.1,114.1,121.7,125.3, -0.753,       ,  16.86, -167.7,    1.8, -166.9,10.1,      0,  NONE,   NONE,      ,      , -594.5, 3DDiff,1852.0,      ,     10,  13.0,     16,2023-12-07 21:49:09
2023-12-07, 21:49:10,  -07:00,   KPRC,   34.6817627, -112.4049149,5616.5,29.99,  5631.9,8.5,68.75,  65.31,-460.28,-1.32,14.64,-0.04,-0.04,143.4, 136.6,  28.1,  28.1,   0.7,   0.1,  17.72,  15.69,     4.75,  162.39,   66.07, 1775.1,  324.81,  325.40,  329.85,  340.65, 1193.44, 1189.94, 1201.48, 1190.20,  5544.1,75,  GPS,218.3,114.1,114.1,121.7,125.3, -0.735,       ,  17.07, -167.3,    1.8, -166.4,10.1,      0,  NONE,   NONE,      ,      , -551.2, 3DDiff,1852.0,      ,     10,  13.0,     16,2023-12-07 21:49:10
2023-12-07, 21:49:11,  -07:00,   KPRC,   34.6815033, -112.4047394,5615.5,29.99,  5622.3,8.5,71.01,  64.85,-348.27,-2.74,4.71,-0.03,-0.01,145.9, 140.2,  28.1,  28.1,   0.7,   0.1,  17.72,  15.69,     4.46,  162.38,   64.94, 1721.9,  324.05,  324.70,  329.19,  340.01, 1193.10, 1188.30, 1200.62, 1187.96,  5534.5,78,  GPS,218.3,114.1,114.1,121.7,125.3, -0.717,       ,  17.24, -167.0,    1.8, -165.9,10.1,      0,  NONE,   NONE,      ,      , -618.1, 3DDiff,1852.0,      ,     10,  13.0,     16,2023-12-07 21:49:11
2023-12-07, 21:49:12,  -07:00,   KPRC,   34.6812363, -112.4045639,5599.5,29.99,  5611.5,8.5,70.58,  64.79,-487.57,-0.32,2.78,-0.0,0.16,149.1, 141.7,  28.1,  28.1,   0.7,   0.1,  17.83,  15.69,     4.02,  162.36,   64.11, 1654.5,  323.24,  324.02,  328.56,  339.36, 1192.09, 1184.47, 1196.89, 1182.00,  5523.7,77,  GPS,218.3,114.1,114.1,121.7,125.3, -0.700,       ,  17.36, -166.8,    1.7, -165.4,10.1,      0,  NONE,   NONE,      ,      , -649.6, 3DDiff,1852.0,      ,     10,  13.0,     16,2023-12-07 21:49:12
2023-12-07, 21:49:13,  -07:00,   KPRC,   34.6809731, -112.4043961,5586.5,29.99,  5604.2,8.5,69.67,  64.61,-665.96,-1.24,1.23,-0.0,-0.08,149.9, 142.3,  28.1,  28.1,   0.7,   0.1,  17.91,  15.74,     3.70,  162.34,   63.20, 1587.2,  322.57,  323.32,  327.90,  338.71, 1191.51, 1179.77, 1193.22, 1174.43,  5516.3,76,  GPS,218.3,114.1,114.1,121.7,125.3, -0.683,       ,  17.45, -166.6,    1.7, -165.0,10.1,      0,  NONE,   NONE,      ,      , -468.5, 3DDiff,1852.0,      ,     10,  13.5,     16,2023-12-07 21:49:13
2023-12-07, 21:49:14,  -07:00,   KPRC,   34.6807060, -112.4042358,5578.5,29.99,  5595.6,8.5,69.28,  64.07,-620.83,-0.43,1.69,0.02,0.08,151.1, 142.8,  28.1,  28.1,   0.7,   0.1,  17.96,  15.84,     3.73,  162.32,   63.34, 1578.1,  321.77,  322.64,  327.29,  338.07, 1188.32, 1174.12, 1186.01, 1166.56,  5507.8,76,  GPS,218.3,114.1,114.1,121.7,125.3, -0.665,       ,  17.50, -166.4,    1.7, -164.5,10.1,      0,  NONE,   NONE,      ,      , -507.9, 3DDiff,1852.0,      ,     10,  13.5,     16,2023-12-07 21:49:14
2023-12-07, 21:49:15,  -07:00,   KPRC,   34.6804428, -112.4040756,5565.5,29.99,  5588.6,8.5,67.91,  63.72,-676.78,-1.79,0.83,0.01,-0.07,151.2, 143.3,  28.1,  28.1,   0.6,   0.1,  17.99,  15.84,     3.81,  162.31,   63.66, 1607.1,  321.04,  321.96,  326.66,  337.45, 1182.10, 1170.54, 1180.83, 1161.49,  5500.8,74,  GPS,218.3,114.1,114.1,121.7,125.3, -0.648,       ,  17.53, -166.3,    1.7, -164.0,10.1,      0,  NONE,   NONE,      ,      , -448.8, 3DDiff,1852.0,      ,     10,  13.0,     16,2023-12-07 21:49:15
2023-12-07, 21:49:16,  -07:00,   KPRC,   34.6801758, -112.4039154,5558.5,29.99,  5580.6,8.5,68.26,  63.60,-615.01,-3.27,-0.22,0.01,-0.0,151.5, 143.9,  28.1,  28.1,   0.7,   0.1,  17.99,  15.93,     4.36,  162.30,   64.90, 1679.2,  320.38,  321.29,  326.04,  336.83, 1179.26, 1170.31, 1180.04, 1161.42,  5492.8,75,  GPS,218.3,114.1,114.1,121.7,125.3, -0.631,       ,  17.52, -166.1,    1.7, -163.6,10.1,      0,  NONE,   NONE,      ,      , -484.3, 3DDiff,1852.0,      ,     10,  13.0,     16,2023-12-07 21:49:16
2023-12-07, 21:49:17,  -07:00,   KPRC,   34.6799088, -112.4037628,5551.5,29.99,  5570.1,8.5,69.78,  64.01,-534.33,-4.21,-0.13,0.01,-0.03,153.2, 144.0,  28.1,  28.1,   0.7,   0.1,  17.99,  16.04,     4.41,  162.27,   65.64, 1731.1,  319.64,  320.64,  325.42,  336.20, 1179.58, 1172.61, 1183.32, 1164.17,  5482.3,76,  GPS,218.3,114.1,114.1,121.7,125.3, -0.614,       ,  17.50, -165.9,    1.7, -163.1,10.1,      0,  NONE,   NONE,      ,      , -578.7, 3DDiff,1852.0,      ,     10,  13.0,     16,2023-12-07 21:49:17
