Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2023-11-26, 16:47:08,  -07:00,   KPRC,   34.6760292, -112.3965836,5792.1,30.11,  5842.6,7.2,56.89,  72.33,-1660.13,-3.16,-10.79,0.08,0.02,210.6, 206.6,  28.2,  28.2,   0.7,   0.0,  16.38,  14.03,     1.01,  156.04,   54.06,  974.6,  305.10,  297.77,  305.01,  318.90,  925.39, 1035.26, 1058.31, 1031.06,  5754.8,62,  GPS,218.3,114.1,114.1,121.7,125.3, -0.206,       ,   8.52, 118.5,    1.7, -148.7,10.1,      0,  NONE,   NONE,      ,      , -933.1, 3DDiff,1852,      ,     10,  15.0,     17,2023-11-26 16:47:08
2023-11-26, 16:47:09,  -07:00,   KPRC,   34.6757584, -112.3968201,5783.1,30.11,  5826.9,7.2,58.35,  72.25,-1309.43,-6.67,-6.7,0.09,-0.12,208.7, 205.2,  28.2,  28.2,   0.7,   0.0,  16.30,  14.13,     1.01,  156.13,   54.10,  973.8,  304.43,  297.24,  304.50,  318.38,  927.21, 1028.08, 1059.68, 1025.95,  5739.1,64,  GPS,218.3,114.1,114.1,121.7,125.3, -0.202,       ,   8.19, 115.6,    1.7, -148.6,10.1,      0,  NONE,   NONE,      ,      , -940.9, 3DDiff,1852,      ,     10,  15.5,     17,2023-11-26 16:47:09
2023-11-26, 16:47:10,  -07:00,   KPRC,   34.6754799, -112.3970566,5772.1,30.11,  5807.7,7.0,60.01,  72.39,-959.77,-8.57,-2.85,0.09,-0.09,209.1, 204.8,  28.2,  28.2,   0.7,   0.0,  16.12,  14.22,     0.98,  156.23,   54.21,  978.6,  303.83,  296.73,  303.97,  317.84,  922.13, 1020.37, 1062.08, 1023.88,  5719.9,66,  GPS,218.3,114.1,114.1,121.7,125.3, -0.197,       ,   7.83, 112.4,    1.7, -148.5,10.1,      0,  NONE,   NONE,      ,      , -1122.0, 3DDiff,1852,      ,     10,  15.5,     18,2023-11-26 16:47:10
2023-11-26, 16:47:11,  -07:00,   KPRC,   34.6752090, -112.3972931,5752.1,30.11,  5787.2,7.0,60.38,  73.07,-947.17,-9.85,0.96,0.02,-0.09,209.9, 205.5,  28.2,  28.2,   0.7,   0.0,  15.81,  14.39,     1.00,  156.32,   54.35,  985.6,  303.08,  296.18,  303.44,  317.29,  922.37, 1015.80, 1061.62, 1021.42,  5699.4,66,  GPS,218.3,114.1,114.1,121.7,125.3, -0.193,       ,   7.46, 108.7,    1.6, -148.4,10.1,      0,  NONE,   NONE,      ,      , -1263.8, 3DDiff,1852,      ,     10,  15.5,     18,2023-11-26 16:47:11
2023-11-26, 16:47:12,  -07:00,   KPRC,   34.6749306, -112.3975372,5725.1,30.11,  5765.0,7.0,61.12,  74.02,-1108.71,-7.91,-0.66,0.14,0.06,215.6, 206.7,  28.2,  28.2,   0.6,   0.0,  15.47,  14.69,     1.01,  156.41,   54.63,  999.0,  302.40,  295.65,  302.91,  316.76,  911.90, 1011.78, 1047.36, 1020.63,  5677.2,67,  GPS,218.3,114.1,114.1,121.7,125.3, -0.188,       ,   7.07, 104.6,    1.6, -148.4,10.1,      0,  NONE,   NONE,      ,      , -1326.8, 3DDiff,1852,      ,     10,  15.5,     16,2023-11-26 16:47:12
2023-11-26, 16:47:13,  -07:00,   KPRC,   34.6746597, -112.3978043,5689.1,30.11,  5744.9,7.0,57.81,  75.19,-1551.71,-7.66,-0.75,0.12,0.0,217.9, 208.4,  28.2,  28.2,   0.7,   0.0,  15.47,  14.69,     0.97,  156.49,   54.47,  991.4,  301.72,  295.11,  302.37,  316.22,  904.04, 1010.02, 1039.61, 1014.40,  5657.1,63,  GPS,218.3,114.1,114.1,121.7,125.3, -0.185,       ,   6.67,  99.7,    1.6, -148.3,10.1,      0,  NONE,   NONE,      ,      , -1228.3, 3DDiff,1852,      ,      9,  15.0,     16,2023-11-26 16:47:13
2023-11-26, 16:47:14,  -07:00,   KPRC,   34.6743965, -112.3980713,5673.1,30.11,  5725.7,7.0,59.37,  75.93,-1527.36,-8.04,-2.45,0.1,-0.03,218.0, 210.0,  28.2,  28.2,   0.7,   0.0,  14.96,  14.98,     0.99,  156.56,   54.47,  987.0,  301.02,  294.56,  301.82,  315.67,  899.91, 1010.68, 1037.44, 1009.56,  5637.9,65,  GPS,218.3,114.1,114.1,121.7,125.3, -0.182,       ,   6.30,  93.8,    1.6, -148.3,10.1,      0,  NONE,   NONE,      ,      , -1189.0, 3DDiff,1852,      ,     10,  15.0,     17,2023-11-26 16:47:14
2023-11-26, 16:47:15,  -07:00,   KPRC,   34.6741219, -112.3983612,5657.1,30.11,  5704.2,7.0,61.15,  76.45,-1294.21,-10.31,-4.6,0.12,-0.16,219.8, 211.0,  28.2,  28.2,   0.7,   0.0,  14.42,  15.27,     1.04,  156.63,   54.71,  993.8,  300.32,  294.01,  301.27,  315.12,  890.50, 1010.77, 1035.86, 1005.89,  5616.4,67,  GPS,218.3,114.1,114.1,121.7,125.3, -0.179,       ,   5.99,  86.9,    1.5, -148.3,10.1,      0,  NONE,   NONE,      ,      , -1255.9, 3DDiff,1852,      ,     10,  15.0,     17,2023-11-26 16:47:15
2023-11-26, 16:47:16,  -07:00,   KPRC,   34.6738625, -112.3986359,5636.1,30.11,  5679.3,7.0,61.56,  77.02,-1210.38,-10.42,-7.4,0.09,-0.05,219.7, 211.9,  28.2,  28.2,   0.6,   0.0,  13.95,  15.52,     1.04,  156.70,   54.72,  998.2,  299.61,  293.44,  300.71,  314.56,  889.11, 1012.06, 1036.00, 1002.21,  5591.5,67,  GPS,218.3,114.1,114.1,121.7,125.3, -0.177,       ,   5.76,  79.1,    1.5, -148.3,10.1,      0,  NONE,   NONE,      ,      , -1511.8, 3DDiff,1852,      ,     10,  15.5,     17,2023-11-26 16:47:16
2023-11-26, 16:47:17,  -07:00,   KPRC,   34.6735916, -112.3989334,5606.1,30.11,  5651.2,7.0,62.37,  78.05,-1366.77,-9.84,-9.14,0.14,0.01,220.2, 211.9,  28.2,  28.2,   0.7,   0.0,  13.58,  15.84,     1.04,  156.77,   54.88, 1002.2,  298.89,  292.85,  300.13,  313.96,  876.59, 1007.23, 1032.88, 1002.27,  5563.4,68,  GPS,218.3,114.1,114.1,121.7,125.3, -0.174,       ,   5.64,  70.6,    1.5, -148.3,10.1,      0,  NONE,   NONE,      ,      , -1633.9, 3DDiff,1852,      ,     10,  15.5,     17,2023-11-26 16:47:17
