Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2024-01-10, 10:26:41,  -07:00,   KPRC,   34.6731148, -112.3948822,5539.3,29.94,  5540.0,1.2,72.3,  81.16,-763.1,-3.21,-12.3,0.0,0.16,262.0, 265.8,  28.2,  28.2,   1.0,   0.1,  15.81,  15.71,     3.17,  158.09,   63.15, 1535.7,  294.02,  290.03,  296.02,  310.31, 1150.57, 1147.32, 1149.72, 1118.51,  5452.1,78,  GPS,4.6,114.1,114.1,121.7,125.3, -0.887,       ,   4.92, -173.8,    1.6, -142.3,10.0,      0,  NONE,   NONE,      ,      , -716.5, 3DDiff,1852.0,      ,     11,  13.5,     19,2024-01-10 10:26:41
2024-01-10, 10:26:42,  -07:00,   KPRC,   34.6731300, -112.3953323,5530.3,29.94,  5529.4,1.2,72.74,  80.59,-718.71,-2.96,-12.78,-0.01,-0.01,258.5, 262.8,  28.2,  28.2,   1.0,   0.2,  15.74,  15.71,     3.16,  158.17,   63.13, 1532.5,  293.22,  289.33,  295.28,  309.62, 1150.20, 1147.22, 1150.21, 1117.73,  5441.5,79,  GPS,4.6,114.1,114.1,121.7,125.3, -0.865,       ,   4.86, -176.1,    1.6, -142.9,10.0,      0,  NONE,   NONE,      ,      , -645.7, 3DDiff,1852.0,      ,     11,  13.5,     19,2024-01-10 10:26:42
2024-01-10, 10:26:43,  -07:00,   KPRC,   34.6731300, -112.3957825,5518.3,29.94,  5518.9,1.2,70.72,  79.79,-663.43,-2.96,-14.26,0.02,-0.0,257.1, 259.7,  28.1,  28.2,   1.0,   0.2,  15.69,  15.71,     3.17,  158.26,   63.10, 1519.0,  292.42,  288.65,  294.63,  308.95, 1149.25, 1146.36, 1150.07, 1117.36,  5431.0,76,  GPS,4.6,114.1,114.1,121.7,125.3, -0.844,       ,   4.82, -178.5,    1.6, -143.4,10.0,      0,  NONE,   NONE,      ,      , -653.5, 3DDiff,1852.0,      ,     11,  13.5,     19,2024-01-10 10:26:43
2024-01-10, 10:26:44,  -07:00,   KPRC,   34.6731110, -112.3962250,5501.3,29.94,  5507.8,1.2,69.5,  79.39,-807.22,-4.45,-13.63,-0.0,-0.01,253.0, 256.7,  28.2,  28.2,   0.9,   0.1,  15.76,  15.74,     3.18,  158.32,   63.02, 1515.4,  291.64,  287.95,  294.04,  308.28, 1147.60, 1145.27, 1149.05, 1117.63,  5419.9,75,  GPS,4.6,114.1,114.1,121.7,125.3, -0.823,       ,   4.79, 179.0,    1.6, -144.0,10.0,      0,  NONE,   NONE,      ,      , -653.5, 3DDiff,1852.0,      ,     10,  13.0,     18,2024-01-10 10:26:44
2024-01-10, 10:26:45,  -07:00,   KPRC,   34.6730690, -112.3966751,5495.3,29.94,  5496.5,1.2,70.57,  79.08,-697.29,-3.55,-13.45,-0.04,0.06,248.3, 253.6,  28.2,  28.2,   1.0,   0.1,  15.76,  15.86,     3.19,  158.41,   62.93, 1512.4,  290.85,  287.27,  293.37,  307.61, 1146.45, 1145.16, 1146.95, 1116.41,  5408.6,76,  GPS,4.6,114.1,114.1,121.7,125.3, -0.802,       ,   4.76, 176.3,    1.6, -144.4,10.0,      0,  NONE,   NONE,      ,      , -681.1, 3DDiff,1852.0,      ,     10,  13.5,     18,2024-01-10 10:26:45
2024-01-10, 10:26:46,  -07:00,   KPRC,   34.6730042, -112.3971100,5482.3,29.94,  5486.4,1.2,69.22,  78.65,-660.72,-2.64,-14.51,0.03,0.12,246.5, 250.0,  28.2,  28.2,   1.0,   0.2,  15.79,  15.96,     3.16,  158.50,   62.91, 1510.2,  290.07,  286.59,  292.75,  306.94, 1145.65, 1144.30, 1146.19, 1115.63,  5398.5,75,  GPS,4.6,114.1,114.1,121.7,125.3, -0.782,       ,   4.76, 173.6,    1.5, -144.9,10.0,      0,  NONE,   NONE,      ,      , -614.2, 3DDiff,1852.0,      ,     11,  13.5,     18,2024-01-10 10:26:46
2024-01-10, 10:26:47,  -07:00,   KPRC,   34.6729240, -112.3975296,5468.3,29.94,  5477.7,1.2,67.71,  78.41,-760.54,-3.65,-10.37,0.01,-0.08,242.7, 246.9,  28.2,  28.2,   0.9,   0.1,  15.81,  16.06,     3.14,  158.58,   62.87, 1500.1,  289.29,  285.93,  292.10,  306.27, 1144.28, 1143.27, 1145.25, 1115.46,  5389.8,73,  GPS,4.6,114.1,114.1,121.7,125.3, -0.763,       ,   4.77, 170.7,    1.5, -145.3,10.0,      0,  NONE,   NONE,      ,      , -531.5, 3DDiff,1852.0,      ,     11,  13.5,     19,2024-01-10 10:26:47
2024-01-10, 10:26:48,  -07:00,   KPRC,   34.6728287, -112.3979568,5466.3,29.94,  5467.9,1.2,69.45,  78.03,-584.05,-3.89,-11.73,-0.02,-0.04,239.4, 244.3,  28.1,  28.2,   1.0,   0.1,  15.79,  16.06,     3.11,  158.65,   62.91, 1509.7,  288.53,  285.25,  291.41,  305.61, 1142.39, 1142.20, 1146.13, 1115.03,  5380.0,75,  GPS,4.6,114.1,114.1,121.7,125.3, -0.744,       ,   4.79, 167.6,    1.5, -145.7,10.0,      0,  NONE,   NONE,      ,      , -586.6, 3DDiff,1852.0,      ,     11,  13.5,     19,2024-01-10 10:26:48
2024-01-10, 10:26:49,  -07:00,   KPRC,   34.6727104, -112.3983688,5456.3,29.94,  5456.7,1.2,69.32,  77.58,-505.54,-4.03,-11.4,0.04,-0.1,239.4, 241.5,  28.2,  28.2,   1.0,   0.1,  15.81,  16.14,     3.10,  158.71,   62.96, 1504.3,  287.77,  284.59,  290.78,  304.97, 1140.21, 1141.43, 1147.08, 1114.01,  5368.8,75,  GPS,4.6,114.1,114.1,121.7,125.3, -0.726,       ,   4.83, 164.6,    1.5, -146.1,10.0,      0,  NONE,   NONE,      ,      , -665.4, 3DDiff,1852.0,      ,     11,  13.5,     19,2024-01-10 10:26:49
2024-01-10, 10:26:50,  -07:00,   KPRC,   34.6725845, -112.3987732,5439.3,29.94,  5443.3,1.2,68.55,  77.35,-659.47,-4.52,-11.61,0.05,-0.03,236.7, 239.2,  28.1,  28.2,   1.0,   0.2,  15.98,  16.22,     3.09,  158.76,   62.82, 1491.2,  287.02,  283.92,  290.22,  304.30, 1138.31, 1140.20, 1146.36, 1112.63,  5355.4,74,  GPS,4.6,114.1,114.1,121.7,125.3, -0.709,       ,   4.86, 161.7,    1.5, -146.5,10.0,      0,  NONE,   NONE,      ,      , -775.6, 3DDiff,1852.0,      ,     10,  13.0,     18,2024-01-10 10:26:50
2024-01-10, 10:26:51,  -07:00,   KPRC,   34.6724396, -112.3991699,5427.3,29.94,  5429.6,1.2,68.91,  77.31,-765.17,-4.81,-10.71,-0.01,0.04,232.3, 236.6,  28.1,  28.2,   1.0,   0.2,  15.98,  16.33,     3.19,  158.82,   62.13, 1441.2,  286.26,  283.27,  289.58,  303.65, 1139.97, 1141.44, 1145.78, 1110.90,  5341.7,74,  GPS,4.6,114.1,114.1,121.7,125.3, -0.692,       ,   4.89, 158.8,    1.4, -146.8,10.0,      0,  NONE,   NONE,      ,      , -826.8, 3DDiff,1852.0,      ,     10,  13.0,     18,2024-01-10 10:26:51
2024-01-10, 10:26:52,  -07:00,   KPRC,   34.6722832, -112.3995590,5415.3,29.94,  5415.5,1.2,68.74,  77.31,-744.16,-5.94,-11.0,0.02,-0.11,230.4, 234.0,  28.1,  28.2,   0.9,   0.1,  15.98,  16.36,     3.14,  158.89,   61.67, 1414.8,  285.52,  282.61,  288.97,  303.01, 1143.43, 1144.31, 1147.15, 1110.21,  5327.6,74,  GPS,4.6,114.1,114.1,121.7,125.3, -0.676,       ,   4.93, 156.0,    1.4, -147.1,10.0,      0,  NONE,   NONE,      ,      , -850.4, 3DDiff,1852.0,      ,     10,  13.5,     18,2024-01-10 10:26:52
2024-01-10, 10:26:53,  -07:00,   KPRC,   34.6721153, -112.3999405,5400.3,29.94,  5399.1,1.2,69.6,  77.29,-793.6,-5.09,-10.13,0.02,0.05,227.6, 231.8,  28.2,  28.2,   1.0,   0.1,  16.09,  16.30,     3.16,  158.95,   61.43, 1400.2,  284.78,  281.96,  288.35,  302.37, 1145.91, 1146.98, 1148.01, 1109.95,  5311.2,75,  GPS,4.6,114.1,114.1,121.7,125.3, -0.660,       ,   4.97, 153.3,    1.4, -147.4,10.0,      0,  NONE,   NONE,      ,      , -976.4, 3DDiff,1852.0,      ,     11,  13.5,     19,2024-01-10 10:26:53
2024-01-10, 10:26:54,  -07:00,   KPRC,   34.6719322, -112.4003143,5382.3,29.94,  5383.6,1.2,69.76,  77.31,-903.64,-4.52,-11.76,0.0,0.04,224.8, 229.1,  28.2,  28.2,   1.0,   0.1,  16.20,  16.30,     3.10,  159.01,   61.35, 1397.6,  284.03,  281.31,  287.74,  301.74, 1148.55, 1147.15, 1148.86, 1109.23,  5295.7,75,  GPS,4.6,114.1,114.1,121.7,125.3, -0.645,       ,   5.02, 150.6,    1.4, -147.7,10.0,      0,  NONE,   NONE,      ,      , -937.0, 3DDiff,1852.0,      ,     11,  13.5,     19,2024-01-10 10:26:54
2024-01-10, 10:26:55,  -07:00,   KPRC,   34.6717339, -112.4006729,5366.3,29.94,  5368.9,1.2,69.37,  77.15,-944.34,-4.75,-10.16,0.0,0.04,221.8, 226.5,  28.1,  28.2,   1.0,   0.2,  16.30,  16.17,     2.95,  159.06,   61.12, 1371.1,  283.29,  280.67,  287.12,  301.10, 1148.66, 1147.74, 1150.66, 1108.54,  5281.0,75,  GPS,4.6,114.1,114.1,121.7,125.3, -0.631,       ,   5.08, 148.2,    1.4, -147.9,10.0,      0,  NONE,   NONE,      ,      , -893.7, 3DDiff,1852.0,      ,     11,  13.5,     19,2024-01-10 10:26:55
2024-01-10, 10:26:56,  -07:00,   KPRC,   34.6715240, -112.4010239,5355.3,29.94,  5353.9,1.2,70.36,  76.88,-884.94,-4.91,-9.28,0.04,0.07,220.1, 223.9,  28.2,  28.2,   0.9,   0.1,  16.33,  16.04,     2.83,  159.11,   60.47, 1327.3,  282.54,  280.00,  286.45,  300.46, 1141.06, 1144.32, 1153.09, 1108.56,  5266.0,76,  GPS,4.6,114.1,114.1,121.7,125.3, -0.617,       ,   5.14, 145.9,    1.3, -148.1,10.0,      0,  NONE,   NONE,      ,      , -893.7, 3DDiff,1852.0,      ,     10,  13.0,     18,2024-01-10 10:26:56
2024-01-10, 10:26:57,  -07:00,   KPRC,   34.6713028, -112.4013672,5335.3,29.94,  5339.6,1.2,69.05,  76.70,-946.71,-4.31,-9.92,0.0,0.07,218.0, 221.6,  28.2,  28.2,   1.0,   0.1,  16.25,  15.89,     2.82,  159.17,   60.21, 1313.4,  281.80,  279.36,  285.83,  299.82, 1135.50, 1145.95, 1152.41, 1106.86,  5251.7,74,  GPS,4.6,114.1,114.1,121.7,125.3, -0.604,       ,   5.20, 143.7,    1.3, -148.2,10.0,      0,  NONE,   NONE,      ,      , -866.1, 3DDiff,1852.0,      ,     10,  13.0,     18,2024-01-10 10:26:57
