Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2024-01-15, 09:20:06,  -07:00,       ,   34.6480484, -112.4208527,4999.5,30.08,  5012.4,4.0,0.0,   2.74,-19.18,1.07,-0.43,0.01,-0.01,35.8,  35.7,  28.0,  28.0,   2.5,   0.7,  15.40,  19.17,     1.51,  129.04,   54.80,  834.0,  255.89,  255.15,  266.32,  273.46, 1058.68, 1072.75, 1049.00, 1033.64,  4924.0,0,  GPS,211.0,114.1,114.1,122.825,125.3,       ,       ,       ,      ,       ,       ,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,3704.0,      ,     12,  17.5,     22,2024-01-15 09:20:06
2024-01-15, 09:20:07,  -07:00,       ,   34.6480560, -112.4208374,4998.5,30.08,  5012.4,4.0,0.0,   2.86,-36.62,1.02,-0.36,0.0,-0.02,36.1,  35.6,  28.0,  28.0,   2.5,   0.7,  15.47,  19.17,     1.52,  129.04,   54.66,  813.0,  255.91,  255.22,  266.41,  273.51, 1046.97, 1065.83, 1040.33, 1022.34,  4924.0,0,  GPS,211.0,114.1,114.1,122.825,125.3,       ,       ,       ,      ,       ,       ,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,3704.0,      ,     12,  17.5,     22,2024-01-15 09:20:07
2024-01-15, 09:20:08,  -07:00,       ,   34.6480675, -112.4208221,4999.5,30.08,  5012.4,4.0,0.0,   3.21,-24.81,1.11,-0.23,0.0,0.03,36.8,  35.8,  27.8,  27.9,   1.4,   0.6,  15.64,  19.17,     1.32,  129.03,   53.08,  767.1,  256.02,  255.36,  266.58,  273.64, 1040.24, 1058.28, 1030.29, 1013.03,  4924.1,0,  GPS,211.0,114.1,114.1,122.825,125.3,       ,       ,       ,      ,       ,       ,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,3704.0,      ,     12,  18.0,     22,2024-01-15 09:20:08
2024-01-15, 09:20:09,  -07:00,       ,   34.6480789, -112.4208069,4998.5,30.08,  5012.8,4.0,0.0,   3.23,-28.33,1.23,-0.13,-0.0,0.04,37.4,  36.8,  27.3,  27.4,  -2.8,  -0.3,  15.71,  19.22,     1.18,  129.01,   51.89,  665.3,  256.17,  255.58,  266.81,  273.87, 1016.02, 1025.87, 1003.38,  998.21,  4924.5,0,  GPS,211.0,114.1,114.1,122.825,125.3,       ,       ,       ,      ,       ,       ,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,3704.0,      ,     12,  18.0,     22,2024-01-15 09:20:09
2024-01-15, 09:20:10,  -07:00,       ,   34.6480865, -112.4207993,4998.5,30.08,  5012.1,4.0,0.0,   3.27,-18.97,1.03,-0.24,0.0,-0.01,37.9,  37.0,  27.4,  27.4,  -1.3,  -0.1,  15.71,  19.27,     1.17,  129.00,   52.20,  668.3,  256.31,  255.78,  267.02,  274.03, 1000.09, 1005.74,  983.24,  986.72,  4923.8,0,  GPS,211.0,114.1,114.1,122.825,125.3,       ,       ,       ,      ,       ,       ,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,3704.0,      ,     12,  18.0,     22,2024-01-15 09:20:10
2024-01-15, 09:20:11,  -07:00,       ,   34.6481018, -112.4207840,4998.5,30.08,  5010.9,4.0,0.0,   3.48,-16.11,1.31,-0.22,0.01,0.02,38.6,  37.4,  27.3,  27.4,  -1.0,  -0.1,  15.84,  19.30,     1.13,  128.99,   52.26,  670.9,  256.44,  255.96,  267.23,  274.22,  992.39,  990.47,  973.00,  978.34,  4922.6,0,  GPS,211.0,114.1,114.1,122.825,125.3,       ,       ,       ,      ,       ,       ,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,3704.0,      ,     12,  17.5,     22,2024-01-15 09:20:11
2024-01-15, 09:20:12,  -07:00,       ,   34.6481133, -112.4207687,4998.5,30.08,  5010.8,4.0,0.0,   3.67,-16.0,1.24,-0.29,0.02,-0.01,39.2,  38.3,  27.3,  27.4,  -0.8,  -0.2,  15.91,  19.30,     1.12,  128.97,   52.16,  670.4,  256.55,  256.15,  267.43,  274.37,  978.66,  979.15,  965.30,  970.78,  4922.4,0,  GPS,211.0,114.1,114.1,122.825,125.3,       ,       ,       ,      ,       ,       ,10.0,      0,  NONE,   NONE,      ,      ,  -3.9, 3DDiff,3704.0,      ,     12,  17.5,     22,2024-01-15 09:20:12
2024-01-15, 09:20:13,  -07:00,       ,   34.6481209, -112.4207535,4998.5,30.08,  5010.6,4.0,0.0,   3.40,-3.98,1.22,-0.31,-0.01,0.01,37.6,  38.7,  27.2,  27.3,  -1.9,  -0.3,  15.86,  19.33,     1.12,  128.96,   52.01,  665.7,  256.65,  256.33,  267.60,  274.54,  959.69,  964.05,  958.73,  963.30,  4922.2,0,  GPS,211.0,114.1,114.1,122.825,125.3,       ,       ,       ,      ,       ,       ,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,3704.0,      ,     12,  18.0,     22,2024-01-15 09:20:13
2024-01-15, 09:20:14,  -07:00,       ,   34.6481323, -112.4207382,4999.5,30.08,  5010.5,4.0,0.0,   3.01,6.26,1.2,-0.14,-0.01,0.01,35.6,  37.0,  27.3,  27.3,  -0.3,  -0.1,  15.86,  19.30,     1.15,  128.95,   52.26,  672.9,  256.73,  256.49,  267.76,  274.67,  940.94,  951.52,  950.49,  957.21,  4922.1,0,  GPS,211.0,114.1,114.1,122.825,125.3,       ,       ,       ,      ,       ,       ,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,3704.0,      ,     12,  17.5,     22,2024-01-15 09:20:14
2024-01-15, 09:20:15,  -07:00,       ,   34.6481438, -112.4207306,4998.5,30.08,  5009.7,4.0,0.0,   2.86,-2.15,0.56,-0.25,-0.0,-0.05,33.7,  34.9,  27.2,  27.3,  -0.4,  -0.2,  15.84,  19.27,     1.12,  128.93,   52.25,  672.0,  256.68,  256.49,  267.78,  274.67,  923.45,  941.12,  943.99,  951.49,  4921.4,0,  GPS,211.0,114.1,114.1,122.825,125.3,       ,       ,       ,      ,       ,       ,10.0,      0,  NONE,   NONE,      ,      ,  -3.9, 3DDiff,3704.0,      ,     12,  18.0,     22,2024-01-15 09:20:15
