Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2024-02-23, 12:05:28,  -07:00,   KPRC,   34.6620750, -112.4145050,4958.3,30.23,  4955.9,12.2,-0.0,  14.07,-9.75,2.8,1.07,-0.04,-0.0,30.7,  31.3,  27.2,  27.2,   0.8,  -0.3,  14.59,  16.14,     1.03,  159.20,   50.61,  684.5,  261.49,  268.72,  277.20,  285.06,  822.78,  862.37,  861.31,  872.24,  4867.8,0.0,  GPS,221.5,114.1,114.1,122.825,128.75, -0.195,       ,       ,      ,    0.5, -161.8,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,1852.0,      ,     10,  10.0,     17,2024-02-23 12:05:28
2024-02-23, 12:05:29,  -07:00,   KPRC,   34.6621208, -112.4144592,4959.3,30.23,  4957.0,12.2,0.0,  13.33,10.03,2.65,1.45,-0.05,0.02,28.8,  30.2,  27.2,  27.3,   0.6,  -0.3,  14.47,  16.04,     1.02,  159.26,   50.69,  687.2,  261.06,  268.38,  276.80,  284.75,  822.58,  861.89,  857.62,  869.17,  4868.8,0.0,  GPS,221.5,114.1,114.1,122.825,128.75, -0.196,       ,       ,      ,    0.5, -161.7,10.0,      0,  NONE,   NONE,      ,      , -11.8, 3DDiff,1852.0,      ,     10,  10.0,     16,2024-02-23 12:05:29
2024-02-23, 12:05:30,  -07:00,   KPRC,   34.6621704, -112.4144135,4959.3,30.23,  4956.8,12.2,0.0,  12.63,2.72,2.33,0.76,0.01,0.01,29.4,  28.7,  27.2,  27.3,   0.7,  -0.2,  14.47,  16.04,     1.01,  159.32,   50.76,  688.8,  260.62,  268.07,  276.45,  284.44,  826.65,  859.81,  858.55,  866.95,  4868.6,0.0,  GPS,221.5,114.1,114.1,122.825,128.75, -0.196,       ,       ,      ,    0.5, -161.6,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,1852.0,      ,     10,   9.5,     16,2024-02-23 12:05:30
2024-02-23, 12:05:31,  -07:00,   KPRC,   34.6622086, -112.4143753,4959.3,30.23,  4956.7,12.2,-0.0,  11.72,-12.45,2.29,0.86,-0.03,-0.01,27.8,  28.8,  27.3,  27.4,   0.6,  -0.1,  14.32,  15.96,     1.01,  159.39,   50.70,  690.0,  260.12,  267.75,  276.09,  284.13,  828.61,  856.75,  860.15,  864.06,  4868.5,0.0,  GPS,221.5,114.1,114.1,122.825,128.75, -0.197,       ,       ,      ,    0.5, -161.6,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,1852.0,      ,     10,   9.5,     17,2024-02-23 12:05:31
2024-02-23, 12:05:32,  -07:00,   KPRC,   34.6622505, -112.4143372,4958.3,30.23,  4956.5,12.2,-0.0,  10.87,-15.62,2.77,0.89,-0.03,-0.02,25.6,  27.0,  27.4,  27.4,   0.9,   0.1,  14.15,  15.86,     1.02,  159.45,   50.77,  691.7,  259.69,  267.44,  275.75,  283.84,  829.00,  856.28,  859.33,  861.55,  4868.4,0.0,  GPS,221.5,114.1,114.1,122.825,128.75, -0.198,       ,       ,      ,    0.5, -161.5,10.0,      0,  NONE,   NONE,      ,      , -11.8, 3DDiff,1852.0,      ,     10,  10.0,     17,2024-02-23 12:05:32
2024-02-23, 12:05:33,  -07:00,   KPRC,   34.6622887, -112.4143066,4958.3,30.23,  4956.4,12.2,0.0,  10.21,-25.9,2.94,0.47,0.01,-0.01,26.5,  25.4,  27.2,  27.3,   0.6,  -0.3,  13.95,  15.79,     1.03,  159.52,   50.68,  689.0,  259.30,  267.15,  275.38,  283.55,  830.86,  854.95,  859.30,  860.30,  4868.3,0.0,  GPS,221.5,114.1,114.1,122.825,128.75, -0.199,       ,       ,      ,    0.5, -161.5,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,1852.0,      ,     10,  10.0,     17,2024-02-23 12:05:33
2024-02-23, 12:05:34,  -07:00,   KPRC,   34.6623230, -112.4142761,4957.3,30.23,  4956.9,12.2,-0.0,   9.60,-31.75,2.89,0.33,0.02,-0.01,29.4,  27.1,  27.4,  27.5,   0.6,  -0.1,  14.03,  15.62,     1.01,  159.59,   50.80,  692.0,  258.82,  266.85,  275.05,  283.27,  829.24,  852.72,  858.36,  859.32,  4868.7,0.0,  GPS,221.5,114.1,114.1,122.825,128.75, -0.199,       ,       ,      ,    0.5, -161.5,10.0,      0,  NONE,   NONE,      ,      ,  -3.9, 3DDiff,1852.0,      ,     10,  10.0,     18,2024-02-23 12:05:34
2024-02-23, 12:05:35,  -07:00,   KPRC,   34.6623535, -112.4142380,4957.3,30.23,  4956.1,12.2,-0.0,   8.77,-31.99,2.83,0.22,0.02,0.04,32.2,  29.9,  27.4,  27.5,   0.5,  -0.1,  14.03,  15.49,     1.01,  159.66,   50.77,  691.1,  258.41,  266.57,  274.71,  282.99,  833.76,  851.41,  858.18,  858.23,  4868.0,0.0,  GPS,221.5,114.1,114.1,122.825,128.75, -0.200,       ,       ,      ,    0.5, -161.4,10.0,      0,  NONE,   NONE,      ,      , -11.8, 3DDiff,1852.0,      ,     10,  10.0,     16,2024-02-23 12:05:35
2024-02-23, 12:05:36,  -07:00,   KPRC,   34.6623802, -112.4142151,4957.3,30.23,  4956.4,12.2,0.0,   7.89,-32.0,2.64,0.08,0.03,-0.02,35.8,  32.8,  27.9,  27.8,   1.7,   0.4,  14.03,  15.49,     1.01,  159.74,   51.33,  725.7,  258.04,  266.29,  274.39,  282.73,  833.00,  851.72,  857.29,  858.78,  4868.2,0.0,  GPS,221.5,114.1,114.1,122.825,128.75, -0.200,       ,       ,      ,    0.5, -161.3,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,1852.0,      ,     10,   9.5,     16,2024-02-23 12:05:36
2024-02-23, 12:05:37,  -07:00,   KPRC,   34.6624031, -112.4141846,4957.3,30.23,  4956.3,12.5,0.0,   7.25,-11.48,2.74,0.18,0.01,-0.01,40.1,  36.6,  28.2,  28.2,   0.8,   0.2,  14.05,  15.49,     3.05,  159.81,   59.15, 1145.8,  257.64,  266.03,  274.08,  282.47,  846.30,  862.18,  869.38,  873.77,  4868.2,0.0,  GPS,221.5,114.1,114.1,122.825,128.75, -0.200,       ,       ,      ,    0.5, -161.3,10.0,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff,1852.0,      ,     10,  10.0,     17,2024-02-23 12:05:37
