Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2023-12-13, 11:01:09,  -07:00,   KPRC,   34.9599724, -112.3800507,6067.0,30.06,  6059.8,5.0,71.49,  78.75,-857.33,-3.78,-17.55,-0.07,0.09,233.2, 246.8,  28.1,  28.1,   1.2,   0.0,  19.45,  18.25,     1.11,  158.23,   57.27,  986.5,  175.28,  183.54,  191.03,  202.46,  658.77,  731.58,  770.58,  881.98,  5975.6,78,  GPS,218.4,114.1,114.1,121.7,123.5, -12.400,       ,  10.42, 168.0,   18.4,  176.0,10.1,      0,  NONE,   NONE,      ,      , -1090.6, 3DDiff,1852.0,      ,     12,  20.0,     20,2023-12-13 11:01:09
2023-12-13, 11:01:10,  -07:00,   KPRC,   34.9598618, -112.3804703,6043.0,30.06,  6039.7,5.0,71.22,  79.23,-1007.93,-4.23,-13.79,0.06,-0.04,234.5, 242.4,  28.1,  28.1,   1.2,   0.0,  19.51,  18.19,     1.11,  158.17,   57.40,  990.6,  174.98,  183.25,  190.74,  202.18,  656.68,  732.60,  765.62,  886.13,  5955.5,78,  GPS,218.4,114.1,114.1,121.7,123.5, -12.409,       ,  10.68, 167.0,   18.4,  175.9,10.1,      0,  NONE,   NONE,      ,      , -1200.8, 3DDiff,1852.0,      ,     12,  20.5,     20,2023-12-13 11:01:10
2023-12-13, 11:01:11,  -07:00,   KPRC,   34.9597282, -112.3808975,6020.0,30.06,  6018.2,5.0,71.07,  80.28,-1192.21,-4.71,-16.19,-0.07,0.06,227.6, 238.9,  28.1,  28.1,   1.2,   0.0,  19.74,  18.01,     1.08,  158.12,   57.45,  995.9,  174.68,  182.99,  190.45,  201.89,  658.35,  736.19,  751.83,  885.44,  5934.0,78,  GPS,218.4,114.1,114.1,121.7,123.5, -12.417,       ,  10.96, 166.0,   18.4,  175.8,10.1,      0,  NONE,   NONE,      ,      , -1299.2, 3DDiff,1852.0,      ,     12,  20.5,     20,2023-12-13 11:01:11
2023-12-13, 11:01:12,  -07:00,   KPRC,   34.9595642, -112.3813095,6003.0,30.06,  5997.2,5.0,73.0,  81.29,-1190.81,-5.47,-21.1,-0.06,0.04,222.0, 234.2,  28.1,  28.1,   1.2,   0.0,  19.87,  17.91,     1.10,  158.06,   57.68, 1010.4,  174.37,  182.73,  190.16,  201.61,  656.22,  732.31,  738.77,  888.20,  5913.0,80,  GPS,218.4,114.1,114.1,121.7,123.5, -12.423,       ,  11.22, 165.0,   18.3,  175.8,10.1,      0,  NONE,   NONE,      ,      , -1271.7, 3DDiff,1852.0,      ,     12,  20.5,     21,2023-12-13 11:01:12
2023-12-13, 11:01:13,  -07:00,   KPRC,   34.9593658, -112.3816986,5981.0,30.06,  5974.2,5.0,74.22,  82.07,-1210.38,-4.71,-20.93,-0.05,0.11,217.5, 228.7,  28.1,  28.1,   1.1,   0.0,  19.94,  17.85,     1.12,  158.01,   57.97, 1029.2,  174.08,  182.46,  189.88,  201.33,  646.59,  725.04,  739.45,  890.26,  5889.9,81,  GPS,218.4,114.1,114.1,121.7,123.5, -12.427,       ,  11.48, 164.0,   18.3,  175.7,10.1,      0,  NONE,   NONE,      ,      , -1303.1, 3DDiff,1852.0,      ,     12,  20.5,     20,2023-12-13 11:01:13
2023-12-13, 11:01:14,  -07:00,   KPRC,   34.9591370, -112.3820724,5958.0,30.06,  5952.6,5.0,75.3,  82.96,-1274.07,-4.35,-20.85,-0.05,0.08,212.5, 223.0,  28.1,  28.1,   1.2,   0.0,  19.99,  17.80,     1.09,  157.96,   58.24, 1043.6,  173.79,  182.19,  189.58,  201.06,  638.15,  716.66,  734.60,  896.48,  5868.4,82,  GPS,218.4,114.1,114.1,121.7,123.5, -12.429,       ,  11.75, 163.0,   18.3,  175.7,10.1,      0,  NONE,   NONE,      ,      , -1232.3, 3DDiff,1852.0,      ,     12,  20.0,     20,2023-12-13 11:01:14
2023-12-13, 11:01:15,  -07:00,   KPRC,   34.9588776, -112.3824310,5940.0,30.06,  5931.2,5.0,75.91,  83.60,-1277.64,-3.91,-17.96,-0.03,0.08,207.5, 217.9,  28.1,  28.1,   1.2,   0.0,  19.99,  17.80,     1.07,  157.90,   58.44, 1057.4,  173.49,  181.92,  189.31,  200.78,  640.25,  710.47,  727.62,  900.74,  5847.0,83,  GPS,218.4,114.1,114.1,121.7,123.5, -12.429,       ,  12.01, 161.8,   18.3,  175.6,10.1,      0,  NONE,   NONE,      ,      , -1204.7, 3DDiff,1852.0,      ,     12,  20.5,     20,2023-12-13 11:01:15
2023-12-13, 11:01:16,  -07:00,   KPRC,   34.9585953, -112.3827515,5922.0,30.06,  5911.0,5.0,76.35,  84.09,-1188.37,-4.61,-17.6,-0.07,0.06,202.8, 213.1,  28.1,  28.1,   1.2,   0.1,  19.94,  17.75,     1.07,  157.84,   58.75, 1068.5,  173.20,  181.67,  189.03,  200.52,  643.77,  705.47,  722.19,  891.33,  5826.8,83,  GPS,218.4,114.1,114.1,121.7,123.5, -12.427,       ,  12.26, 160.6,   18.3,  175.6,10.1,      0,  NONE,   NONE,      ,      , -1196.9, 3DDiff,1852.0,      ,     12,  20.5,     20,2023-12-13 11:01:16
2023-12-13, 11:01:17,  -07:00,   KPRC,   34.9582901, -112.3830566,5905.0,30.06,  5890.3,5.0,77.13,  84.73,-1134.0,-5.15,-10.62,-0.04,0.03,199.0, 209.0,  28.1,  28.1,   1.2,   0.0,  19.89,  17.69,     1.11,  157.77,   58.83, 1072.9,  172.90,  181.38,  188.74,  200.25,  649.34,  700.23,  715.03,  888.74,  5806.0,84,  GPS,218.4,114.1,114.1,121.7,123.5, -12.423,       ,  12.50, 159.3,   18.3,  175.5,10.1,      0,  NONE,   NONE,      ,      , -1236.2, 3DDiff,1852.0,      ,     12,  20.5,     20,2023-12-13 11:01:17
2023-12-13, 11:01:18,  -07:00,   KPRC,   34.9579697, -112.3833389,5889.0,30.06,  5868.3,5.0,79.4,  85.49,-1049.2,-4.15,-4.33,-0.09,0.07,195.1, 206.0,  28.1,  28.1,   1.1,   0.0,  19.71,  17.77,     1.14,  157.72,   59.17, 1092.7,  172.61,  181.11,  188.47,  199.98,  651.82,  697.12,  709.20,  878.90,  5784.0,87,  GPS,218.4,114.1,114.1,121.7,123.5, -12.418,       ,  12.71, 157.9,   18.2,  175.5,10.1,      0,  NONE,   NONE,      ,      , -1263.8, 3DDiff,1852.0,      ,     12,  20.5,     20,2023-12-13 11:01:18
