Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2024-01-06, 11:18:12,  -07:00,   KPRC,   34.6749001, -112.3973999,5345.0,30.16,  5339.0,0.5,70.11,  77.09,-433.19,-2.26,-1.13,0.02,-0.01,219.3, 215.2,  28.1,  28.1,   0.8,   0.0,  22.08,  22.25,     4.03,  155.36,   66.24, 1651.0,  259.08,  258.43,  266.38,  279.27, 1141.59, 1154.07, 1160.33, 1125.80,  5251.3,75.0,  GPS,220.1,114.1,114.1,121.7,125.3, -0.233,       ,   3.21, -20.4,    1.6, -148.1,10.0,      0,  NONE,   NONE,      ,      , -275.6, 3DDiff,1852.0,      ,     11,  13.0,     16,2024-01-06 11:18:12
2024-01-06, 11:18:13,  -07:00,   KPRC,   34.6746559, -112.3976974,5344.0,30.16,  5333.3,0.5,70.65,  76.96,-397.52,-2.49,0.19,-0.02,-0.02,217.3, 215.2,  28.1,  28.1,   0.9,   0.0,  22.13,  22.25,     4.01,  155.38,   66.70, 1677.2,  258.61,  258.00,  266.01,  278.82, 1144.80, 1158.14, 1166.18, 1129.59,  5245.6,76.0,  GPS,220.1,114.1,114.1,121.7,125.3, -0.231,       ,   3.34, -18.9,    1.6, -148.2,10.0,      0,  NONE,   NONE,      ,      , -342.5, 3DDiff,1852.0,      ,     11,  13.0,     17,2024-01-06 11:18:13
2024-01-06, 11:18:14,  -07:00,   KPRC,   34.6743965, -112.3980026,5343.0,30.16,  5324.8,0.5,71.14,  76.67,-235.08,-1.96,0.31,-0.01,-0.04,217.1, 215.0,  28.1,  28.1,   0.9,   0.0,  22.21,  22.25,     4.00,  155.39,   66.64, 1673.7,  258.16,  257.56,  265.65,  278.40, 1146.90, 1160.22, 1169.96, 1131.87,  5237.1,76.0,  GPS,220.1,114.1,114.1,121.7,125.3, -0.229,       ,   3.46, -17.7,    1.6, -148.2,10.0,      0,  NONE,   NONE,      ,      , -480.3, 3DDiff,1852.0,      ,     11,  13.0,     17,2024-01-06 11:18:14
2024-01-06, 11:18:15,  -07:00,   KPRC,   34.6741524, -112.3983078,5329.0,30.16,  5315.5,0.5,69.86,  76.33,-382.41,-0.81,-0.19,0.0,0.04,218.2, 215.2,  28.1,  28.1,   0.9,   0.0,  22.34,  22.25,     4.19,  155.41,   66.62, 1684.9,  257.73,  257.15,  265.23,  277.96, 1148.20, 1160.95, 1172.75, 1134.15,  5227.8,75.0,  GPS,220.1,114.1,114.1,121.7,125.3, -0.227,       ,   3.56, -16.7,    1.6, -148.2,10.0,      0,  NONE,   NONE,      ,      , -566.9, 3DDiff,1852.0,      ,     11,  13.0,     17,2024-01-06 11:18:15
2024-01-06, 11:18:16,  -07:00,   KPRC,   34.6739082, -112.3986053,5315.0,30.16,  5307.8,0.5,69.93,  76.14,-584.34,-1.49,-1.36,-0.01,-0.01,217.3, 215.3,  28.1,  28.1,   0.8,  -0.0,  22.53,  22.30,     4.60,  155.42,   67.38, 1729.2,  257.29,  256.74,  264.86,  277.54, 1150.22, 1164.33, 1177.29, 1139.66,  5220.0,75.0,  GPS,220.1,114.1,114.1,121.7,125.3, -0.225,       ,   3.66, -15.9,    1.5, -148.3,10.0,      0,  NONE,   NONE,      ,      , -456.7, 3DDiff,1852.0,      ,     11,  13.5,     17,2024-01-06 11:18:16
2024-01-06, 11:18:17,  -07:00,   KPRC,   34.6736565, -112.3989029,5311.0,30.16,  5301.5,0.5,69.42,  76.18,-542.26,-2.04,-0.1,-0.02,0.07,215.4, 214.9,  28.1,  28.1,   0.8,   0.0,  22.74,  22.30,     4.93,  155.43,   68.03, 1768.4,  256.89,  256.33,  264.55,  277.14, 1153.84, 1170.05, 1181.42, 1146.36,  5213.8,74.0,  GPS,220.1,114.1,114.1,121.7,125.3, -0.223,       ,   3.73, -15.2,    1.5, -148.3,10.0,      0,  NONE,   NONE,      ,      , -381.9, 3DDiff,1852.0,      ,     11,  13.0,     17,2024-01-06 11:18:17
2024-01-06, 11:18:18,  -07:00,   KPRC,   34.6734047, -112.3992081,5308.0,30.16,  5296.9,0.5,70.29,  76.39,-419.06,-2.83,-1.26,-0.01,-0.1,215.1, 214.5,  27.9,  27.9,   0.8,   0.0,  22.74,  22.30,     4.97,  155.45,   68.25, 1775.6,  256.49,  255.94,  264.17,  276.74, 1157.56, 1175.30, 1185.16, 1151.67,  5209.2,75.0,  GPS,220.1,114.1,114.1,121.7,125.3, -0.221,       ,   3.79, -14.5,    1.5, -148.4,10.0,      0,  NONE,   NONE,      ,      , -271.7, 3DDiff,1852.0,      ,     11,  13.0,     16,2024-01-06 11:18:18
2024-01-06, 11:18:19,  -07:00,   KPRC,   34.6731529, -112.3995056,5302.0,30.16,  5291.0,0.5,68.38,  76.28,-332.16,-1.6,-0.78,0.03,-0.06,215.5, 214.0,  28.1,  28.1,   0.9,   0.1,  22.98,  22.34,     4.91,  155.45,   68.12, 1777.6,  256.11,  255.54,  263.84,  276.35, 1159.57, 1178.09, 1186.05, 1155.21,  5203.2,73.0,  GPS,220.1,114.1,114.1,121.7,125.3, -0.219,       ,   3.82, -13.8,    1.5, -148.4,10.0,      0,  NONE,   NONE,      ,      , -354.3, 3DDiff,1852.0,      ,     11,  13.0,     17,2024-01-06 11:18:19
2024-01-06, 11:18:20,  -07:00,   KPRC,   34.6728973, -112.3998032,5293.0,30.16,  5283.5,0.5,65.59,  76.06,-409.37,-0.97,1.65,-0.04,0.06,213.9, 214.0,  28.0,  28.1,   0.8,  -0.0,  22.98,  22.38,     4.90,  155.44,   67.82, 1770.5,  255.74,  255.17,  263.55,  275.97, 1161.48, 1179.33, 1187.40, 1157.10,  5195.8,70.0,  GPS,220.1,114.1,114.1,121.7,125.3, -0.217,       ,   3.84, -12.7,    1.4, -148.5,10.0,      0,  NONE,   NONE,      ,      , -444.9, 3DDiff,1852.0,      ,     11,  13.0,     17,2024-01-06 11:18:20
2024-01-06, 11:18:21,  -07:00,   KPRC,   34.6726418, -112.4001007,5284.0,30.16,  5276.8,0.8,65.21,  75.97,-464.38,-1.0,-0.86,-0.01,0.14,213.6, 213.9,  28.1,  28.1,   0.8,   0.0,  23.02,  22.42,     5.70,  155.43,   68.49, 1812.0,  255.39,  254.80,  263.24,  275.61, 1163.60, 1182.24, 1189.07, 1160.74,  5189.1,70.0,  GPS,220.1,114.1,114.1,121.7,125.3, -0.214,       ,   3.85, -11.3,    1.4, -148.5,10.0,      0,  NONE,   NONE,      ,      , -389.8, 3DDiff,1852.0,      ,     11,  13.0,     17,2024-01-06 11:18:21
