Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2024-01-28, 12:28:04,  -07:00,   KPRC,   34.9324226, -112.3784943,5473.3,30.36,  5438.1,10.5,100.94, 104.71,340.21,1.72,-8.91,0.03,0.01,9.0,   7.3,  28.1,  28.1,   0.7,  -0.0,  13.79,  14.03,     8.38,  149.28,   74.66, 2429.7,  243.11,  240.85,  252.55,  264.67, 1380.97, 1414.81, 1371.05, 1382.62,  5353.6,110, NAV1,180.8,114.1,114.1,123.5,128.75,  0.538,       ,   6.53,  47.8,   16.7,  176.8,10.1,      0,  NONE,   NONE,      ,      , 338.6, 3DDiff,1852,      ,      9,  14.5,     18,2024-01-28 12:28:04
2024-01-28, 12:28:05,  -07:00,   KPRC,   34.9328918, -112.3783340,5471.3,30.36,  5443.9,10.8,99.52, 104.81,232.34,1.7,-12.28,-0.01,0.0,7.4,   5.6,  28.1,  28.1,   0.7,   0.0,  13.79,  14.03,     8.36,  149.15,   73.87, 2423.9,  244.22,  241.74,  253.48,  265.59, 1381.37, 1415.51, 1370.20, 1382.58,  5359.4,108, NAV1,180.8,114.1,114.1,123.5,128.75,  0.532,       ,   6.47,  48.7,   16.8,  176.9,10.1,      0,  NONE,   NONE,      ,      , 350.4, 3DDiff,1852,      ,     10,  15.0,     18,2024-01-28 12:28:05
2024-01-28, 12:28:06,  -07:00,   KPRC,   34.9333649, -112.3781967,5481.3,30.36,  5448.2,10.8,100.35, 104.91,272.18,2.18,-7.49,0.02,-0.02,6.2,   3.6,  28.2,  28.2,   0.7,   0.0,  13.55,  14.20,     8.33,  149.03,   74.59, 2415.7,  245.32,  242.65,  254.43,  266.48, 1380.45, 1415.17, 1369.78, 1382.82,  5363.7,109, NAV1,180.8,114.1,114.1,123.5,128.75,  0.527,       ,   6.42,  49.7,   16.8,  176.9,10.1,      0,  NONE,   NONE,      ,      , 267.7, 3DDiff,1852,      ,     10,  15.0,     18,2024-01-28 12:28:06
2024-01-28, 12:28:07,  -07:00,   KPRC,   34.9338379, -112.3780670,5482.3,30.36,  5449.1,10.8,97.49, 104.89,235.31,1.96,-0.73,-0.03,-0.07,5.3,   2.5,  28.1,  28.2,   0.7,   0.0,  13.34,  14.27,     8.35,  148.89,   74.48, 2402.4,  246.41,  243.53,  255.36,  267.40, 1379.89, 1414.32, 1369.37, 1382.55,  5364.6,106, NAV1,180.8,114.1,114.1,123.5,128.75,  0.541,       ,   6.37,  50.6,   16.8,  176.9,10.1,      0,  NONE,   NONE,      ,      ,  78.7, 3DDiff,1852,      ,     10,  14.5,     18,2024-01-28 12:28:07
2024-01-28, 12:28:08,  -07:00,   KPRC,   34.9343147, -112.3779449,5483.3,30.36,  5448.8,10.8,98.51, 104.79,203.95,2.21,-1.4,0.01,0.11,5.5,   2.0,  28.1,  28.2,   0.6,  -0.0,  13.25,  14.22,     8.32,  148.76,   74.23, 2411.0,  247.50,  244.44,  256.30,  268.30, 1379.78, 1413.37, 1367.94, 1381.84,  5364.3,107, NAV1,180.8,114.1,114.1,123.5,128.75,  0.540,       ,   6.31,  51.6,   16.9,  176.9,10.1,      0,  NONE,   NONE,      ,      , -51.2, 3DDiff,1852,      ,      9,  14.5,     18,2024-01-28 12:28:08
2024-01-28, 12:28:09,  -07:00,   KPRC,   34.9347878, -112.3778229,5480.3,30.36,  5448.6,10.8,98.85, 104.68,39.27,2.08,0.66,0.01,0.13,5.4,   1.8,  28.1,  28.2,   0.7,   0.0,  13.15,  14.20,     8.40,  148.64,   74.19, 2406.2,  248.58,  245.32,  257.23,  269.21, 1379.26, 1413.77, 1366.95, 1381.40,  5364.1,108, NAV1,180.8,114.1,114.1,123.5,128.75,  0.533,       ,   6.26,  52.8,   16.9,  176.9,10.1,      0,  NONE,   NONE,      ,      , -43.3, 3DDiff,1852,      ,      9,  14.5,     18,2024-01-28 12:28:09
2024-01-28, 12:28:10,  -07:00,   KPRC,   34.9352646, -112.3777084,5481.3,30.36,  5449.9,10.8,98.11, 104.68,-21.51,1.68,-0.77,-0.0,-0.06,4.9,   1.8,  28.2,  28.2,   0.7,   0.0,  12.99,  14.13,     8.27,  148.51,   74.31, 2408.3,  249.66,  246.20,  258.15,  270.10, 1378.93, 1414.27, 1366.81, 1381.25,  5365.4,107, NAV1,180.8,114.1,114.1,123.5,128.75,  0.508,       ,   6.22,  54.1,   16.9,  176.9,10.1,      0,  NONE,   NONE,      ,      ,  70.9, 3DDiff,1852,      ,      9,  14.5,     18,2024-01-28 12:28:10
2024-01-28, 12:28:11,  -07:00,   KPRC,   34.9357414, -112.3775787,5484.3,30.36,  5450.3,10.8,98.86, 104.66,80.99,1.59,-0.33,0.03,-0.01,5.6,   1.5,  28.1,  28.2,   0.7,   0.0,  12.99,  14.13,     8.34,  148.39,   74.50, 2406.6,  250.63,  246.96,  258.96,  270.88, 1378.44, 1414.32, 1367.23, 1381.17,  5365.8,108, NAV1,180.8,114.1,114.1,123.5,128.75,  0.496,       ,   6.18,  55.6,   17.0,  176.9,10.1,      0,  NONE,   NONE,      ,      ,  19.7, 3DDiff,1852,      ,     10,  15.0,     18,2024-01-28 12:28:11
2024-01-28, 12:28:12,  -07:00,   KPRC,   34.9362183, -112.3774643,5477.3,30.36,  5449.8,10.8,98.01, 104.70,-62.91,1.31,3.74,0.02,-0.08,5.3,   1.6,  28.1,  28.2,   0.7,  -0.0,  12.96,  14.03,     8.33,  148.26,   74.71, 2411.3,  251.59,  247.74,  259.80,  271.67, 1377.81, 1413.39, 1367.87, 1380.37,  5365.3,107, NAV1,180.8,114.1,114.1,123.5,128.75,  0.494,       ,   6.15,  57.1,   17.0,  176.9,10.1,      0,  NONE,   NONE,      ,      , -35.4, 3DDiff,1852,      ,     10,  15.0,     18,2024-01-28 12:28:12
2024-01-28, 12:28:13,  -07:00,   KPRC,   34.9366913, -112.3773422,5482.3,30.36,  5448.4,10.8,98.44, 104.68,-20.07,1.88,5.41,-0.02,0.01,5.3,   2.1,  28.1,  28.2,   0.7,  -0.0,  12.88,  14.03,     8.33,  148.14,   74.33, 2408.7,  252.64,  248.57,  260.68,  272.53, 1377.04, 1413.29, 1368.13, 1379.96,  5363.9,107, NAV1,180.8,114.1,114.1,123.5,128.75,  0.500,       ,   6.13,  58.8,   17.0,  176.9,10.1,      0,  NONE,   NONE,      ,      , -106.3, 3DDiff,1852,      ,     10,  14.5,     18,2024-01-28 12:28:13
