Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2023-11-16, 09:36:23,  -07:00,   KPRC,   34.6830254, -112.3984222,5486.5,30.13,  5515.2,13.0,72.69,  75.44,-594.73,-3.67,9.17,0.01,-0.0,167.8, 168.5,  28.1,  28.1,   0.9,   0.0,  17.29,  15.20,     4.41,  164.84,   63.75, 1655.0,  298.74,  299.07,  308.77,  317.23, 1170.77, 1167.38, 1183.59, 1142.49,  5427.5,80.0,  GPS,216.2,114.1,114.1,125.3,128.75, -0.510,       ,   5.97, -178.9,    2.0, -158.7,10.1,      0,  NONE,   NONE,      ,      , -614.2, 3DDiff,1852.0,      ,     14,  20.0,     23,2023-11-16 09:36:23
2023-11-16, 09:36:24,  -07:00,   KPRC,   34.6826782, -112.3984299,5476.5,30.13,  5508.6,13.0,72.45,  75.40,-629.54,-3.75,8.54,0.01,-0.01,170.1, 170.8,  28.2,  28.2,   0.9,   0.0,  17.40,  15.20,     4.10,  164.83,   63.54, 1638.7,  298.20,  298.61,  308.32,  316.71, 1173.08, 1167.67, 1183.50, 1141.34,  5420.9,80.0,  GPS,216.2,114.1,114.1,125.3,128.75, -0.495,       ,   5.83, -178.7,    2.0, -158.4,10.1,      0,  NONE,   NONE,      ,      , -511.8, 3DDiff,1852.0,      ,     13,  19.0,     22,2023-11-16 09:36:24
2023-11-16, 09:36:25,  -07:00,   KPRC,   34.6823273, -112.3984528,5466.5,30.13,  5499.7,13.0,72.35,  74.95,-630.28,-4.17,8.32,-0.01,-0.03,171.8, 173.2,  28.2,  28.2,   0.9,   0.0,  17.48,  15.13,     3.56,  164.82,   62.34, 1562.1,  297.67,  298.15,  307.87,  316.28, 1180.02, 1169.47, 1186.38, 1143.08,  5411.9,79.0,  GPS,216.2,114.1,114.1,125.3,128.75, -0.481,       ,   5.69, -178.6,    1.9, -158.1,10.1,      0,  NONE,   NONE,      ,      , -519.7, 3DDiff,1852.0,      ,     13,  19.0,     22,2023-11-16 09:36:25
2023-11-16, 09:36:26,  -07:00,   KPRC,   34.6819878, -112.3984909,5461.5,30.13,  5490.8,13.0,72.36,  74.53,-532.1,-4.91,5.35,0.01,-0.07,174.7, 175.4,  28.2,  28.2,   0.9,   0.0,  17.48,  15.13,     3.59,  164.81,   62.01, 1530.4,  297.14,  297.69,  307.41,  315.77, 1186.06, 1170.25, 1187.34, 1145.84,  5403.0,79.0,  GPS,216.2,114.1,114.1,125.3,128.75, -0.467,       ,   5.56, -178.6,    1.9, -157.8,10.1,      0,  NONE,   NONE,      ,      , -539.4, 3DDiff,1852.0,      ,     13,  19.5,     22,2023-11-16 09:36:26
2023-11-16, 09:36:27,  -07:00,   KPRC,   34.6816444, -112.3985443,5446.5,30.13,  5480.0,13.0,70.36,  74.20,-605.42,-4.23,4.55,-0.01,0.08,175.9, 177.2,  28.2,  28.2,   0.9,   0.0,  17.59,  15.03,     3.54,  164.83,   61.97, 1519.3,  296.60,  297.22,  306.98,  315.34, 1188.50, 1169.61, 1186.11, 1147.39,  5392.3,77.0,  GPS,216.2,114.1,114.1,125.3,128.75, -0.454,       ,   5.43, -178.8,    1.9, -157.6,10.1,      0,  NONE,   NONE,      ,      , -629.9, 3DDiff,1852.0,      ,     13,  19.5,     22,2023-11-16 09:36:27
2023-11-16, 09:36:28,  -07:00,   KPRC,   34.6813049, -112.3986053,5440.5,30.13,  5470.2,13.0,70.17,  74.04,-596.8,-4.87,5.35,-0.02,-0.17,176.9, 178.7,  28.2,  28.2,   0.9,   0.0,  17.53,  15.03,     3.16,  164.83,   61.01, 1464.7,  296.06,  296.75,  306.53,  314.80, 1188.52, 1169.13, 1186.27, 1148.59,  5382.5,77.0,  GPS,216.2,114.1,114.1,125.3,128.75, -0.442,       ,   5.31, -179.0,    1.9, -157.3,10.1,      0,  NONE,   NONE,      ,      , -598.4, 3DDiff,1852.0,      ,     14,  20.0,     23,2023-11-16 09:36:28
2023-11-16, 09:36:29,  -07:00,   KPRC,   34.6809692, -112.3986816,5431.5,30.13,  5456.6,13.0,69.79,  73.57,-511.92,-5.38,4.06,0.02,-0.06,179.7, 179.9,  28.2,  28.2,   0.9,   0.0,  17.53,  15.05,     3.12,  164.81,   60.47, 1420.4,  295.51,  296.27,  306.07,  314.37, 1190.27, 1169.34, 1191.02, 1151.37,  5368.8,77.0,  GPS,216.2,114.1,114.1,125.3,128.75, -0.430,       ,   5.19, -179.3,    1.9, -157.1,10.1,      0,  NONE,   NONE,      ,      , -752.0, 3DDiff,1852.0,      ,     14,  20.0,     23,2023-11-16 09:36:29
2023-11-16, 09:36:30,  -07:00,   KPRC,   34.6806335, -112.3987656,5413.5,30.13,  5440.5,13.2,69.56,  73.34,-699.02,-5.1,3.24,0.03,-0.02,181.8, 181.2,  28.2,  28.2,   0.9,   0.0,  17.59,  15.08,     3.15,  164.80,   60.43, 1407.0,  294.95,  295.80,  305.61,  313.85, 1194.08, 1169.07, 1193.63, 1153.24,  5352.8,76.0,  GPS,216.2,114.1,114.1,125.3,128.75, -0.418,       ,   5.06, -179.7,    1.8, -156.9,10.1,      0,  NONE,   NONE,      ,      , -838.6, 3DDiff,1852.0,      ,     13,  19.0,     22,2023-11-16 09:36:30
2023-11-16, 09:36:31,  -07:00,   KPRC,   34.6803017, -112.3988495,5397.5,30.13,  5426.0,13.2,69.34,  73.22,-841.42,-5.22,4.8,0.04,0.04,181.8, 182.3,  28.2,  28.2,   0.9,   0.0,  17.67,  15.08,     3.23,  164.78,   60.42, 1405.8,  294.39,  295.32,  305.15,  313.40, 1195.60, 1168.57, 1195.87, 1153.26,  5338.3,76.0,  GPS,216.2,114.1,114.1,125.3,128.75, -0.407,       ,   4.94, 179.9,    1.8, -156.6,10.1,      0,  NONE,   NONE,      ,      , -874.0, 3DDiff,1852.0,      ,     13,  19.0,     22,2023-11-16 09:36:31
2023-11-16, 09:36:32,  -07:00,   KPRC,   34.6799736, -112.3989487,5387.5,30.13,  5411.7,13.2,70.03,  73.13,-806.99,-5.03,3.12,-0.03,0.06,181.8, 183.9,  28.2,  28.2,   0.9,   0.0,  17.67,  15.20,     3.17,  164.78,   60.49, 1401.3,  293.82,  294.85,  304.68,  312.92, 1198.37, 1167.70, 1195.27, 1153.65,  5324.0,77.0,  GPS,216.2,114.1,114.1,125.3,128.75, -0.396,       ,   4.81, 179.6,    1.8, -156.4,10.1,      0,  NONE,   NONE,      ,      , -854.3, 3DDiff,1852.0,      ,     13,  19.5,     22,2023-11-16 09:36:32
