Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2024-01-29, 08:48:51,  -07:00,   KPRC,   34.6822968, -112.4020157,5364.0,30.34,  5364.0,   7.5,69.2,  78.84,-682.93,-1.44,9.88,-0.02,0.06,118.3, 120.0,  28.2,  28.2,   0.8,   0.0,  14.93,  14.39,     3.99,  152.78,   64.61, 1584.8,  272.88,  269.89,  277.02,  289.90, 1120.89, 1149.96, 1143.55, 1116.83,  5276.2,75.0, NAV1,153.9,114.1,114.1,123.5,128.75,  6.041,       ,   3.79,  12.9,    1.9, -162.7,10.0,      0,  NONE,   NONE,      ,      , -535.4, 3DDiff,1852.0,      ,     12,  16.0,     20,2024-01-29 08:48:51
2024-01-29, 08:48:52,  -07:00,   KPRC,   34.6820526, -112.4016876,5356.0,30.34,  5356.7,   7.5,69.2,  78.73,-625.33,-1.08,16.17,-0.01,0.04,122.4, 122.2,  28.2,  28.2,   0.8,  -0.0,  14.93,  14.39,     3.88,  152.76,   64.24, 1566.3,  272.35,  269.48,  276.63,  289.42, 1122.44, 1149.43, 1143.30, 1115.88,  5268.9,75.0, NAV1,153.9,114.1,114.1,123.5,128.75,  6.030,       ,   4.07,  13.3,    1.8, -162.0,10.0,      0,  NONE,   NONE,      ,      , -464.6, 3DDiff,1852.0,      ,     12,  16.0,     20,2024-01-29 08:48:52
2024-01-29, 08:48:53,  -07:00,   KPRC,   34.6817894, -112.4013748,5345.0,30.34,  5350.2,   7.2,68.03,  78.49,-611.49,-0.05,19.61,0.0,0.11,128.4, 126.2,  28.2,  28.2,   0.8,   0.0,  14.93,  14.35,     3.86,  152.74,   64.13, 1555.4,  271.82,  269.09,  276.24,  288.98, 1123.10, 1149.72, 1143.65, 1115.12,  5262.4,74.0, NAV1,153.9,114.1,114.1,123.5,128.75,  6.018,       ,   4.29,  13.2,    1.8, -161.4,10.0,      0,  NONE,   NONE,      ,      , -413.4, 3DDiff,1852.0,      ,     12,  16.5,     20,2024-01-29 08:48:53
2024-01-29, 08:48:54,  -07:00,   KPRC,   34.6815071, -112.4011078,5338.0,30.34,  5343.1,   7.2,67.03,  78.10,-579.64,1.1,22.23,-0.02,0.15,134.0, 131.5,  28.1,  28.1,   0.7,  -0.0,  14.93,  14.32,     3.92,  152.73,   64.02, 1550.4,  271.30,  268.69,  275.85,  288.56, 1122.93, 1148.97, 1142.23, 1114.71,  5255.3,72.0, NAV1,153.9,114.1,114.1,123.5,128.75,  6.012,       ,   4.46,  12.5,    1.8, -160.8,10.0,      0,  NONE,   NONE,      ,      , -287.4, 3DDiff,1852.0,      ,     12,  17.0,     24,2024-01-29 08:48:54
2024-01-29, 08:48:55,  -07:00,   KPRC,   34.6812057, -112.4008713,5335.0,30.34,  5341.7,   7.2,66.18,  77.25,-455.61,1.21,24.65,-0.02,0.07,139.5, 137.4,  28.2,  28.2,   0.8,   0.0,  14.91,  14.27,     3.84,  152.71,   64.01, 1543.8,  270.78,  268.29,  275.47,  288.13, 1122.15, 1148.04, 1141.36, 1112.98,  5253.9,71.0, NAV1,153.9,114.1,114.1,123.5,128.75,  6.007,       ,   4.58,  11.2,    1.8, -160.2,10.0,      0,  NONE,   NONE,      ,      , -169.3, 3DDiff,1852.0,      ,     12,  16.5,     24,2024-01-29 08:48:55
2024-01-29, 08:48:56,  -07:00,   KPRC,   34.6808891, -112.4006805,5335.0,30.34,  5337.6,   7.2,65.41,  76.12,-285.47,0.44,24.79,-0.02,0.04,145.7, 143.5,  28.2,  28.2,   0.8,   0.0,  14.83,  14.22,     3.81,  152.68,   63.95, 1535.5,  270.25,  267.89,  275.09,  287.74, 1120.73, 1146.64, 1140.73, 1111.49,  5249.8,71.0, NAV1,153.9,114.1,114.1,123.5,128.75,  6.005,       ,   4.67,   9.6,    1.8, -159.6,10.0,      0,  NONE,   NONE,      ,      , -169.3, 3DDiff,1852.0,      ,     12,  16.5,     23,2024-01-29 08:48:56
2024-01-29, 08:48:57,  -07:00,   KPRC,   34.6805611, -112.4005356,5330.0,30.34,  5333.0,   7.2,64.23,  75.19,-221.97,-0.68,22.58,-0.01,-0.0,152.4, 149.5,  28.2,  28.2,   0.8,   0.0,  14.79,  14.15,     3.88,  152.67,   63.96, 1532.4,  269.75,  267.50,  274.72,  287.32, 1118.88, 1145.91, 1141.00, 1110.34,  5245.2,69.0, NAV1,153.9,114.1,114.1,123.5,128.75,  5.994,       ,   4.74,   7.6,    1.8, -159.1,10.0,      0,  NONE,   NONE,      ,      , -271.7, 3DDiff,1852.0,      ,     12,  16.5,     24,2024-01-29 08:48:57
2024-01-29, 08:48:58,  -07:00,   KPRC,   34.6802292, -112.4004288,5324.0,30.34,  5330.4,   7.2,63.46,  74.59,-248.57,-1.54,18.73,0.0,0.04,158.1, 155.0,  28.2,  28.2,   0.8,   0.0,  14.79,  14.15,     3.90,  152.66,   63.78, 1525.7,  269.25,  267.12,  274.36,  286.86, 1116.82, 1145.20, 1140.61, 1108.24,  5242.7,69.0, NAV1,153.9,114.1,114.1,123.5,128.75,  5.983,       ,   4.80,   5.2,    1.8, -158.6,10.0,      0,  NONE,   NONE,      ,      , -381.9, 3DDiff,1852.0,      ,     12,  16.5,     22,2024-01-29 08:48:58
2024-01-29, 08:48:59,  -07:00,   KPRC,   34.6798897, -112.4003525,5316.0,30.34,  5323.5,   7.2,63.06,  74.25,-337.4,-3.09,14.86,-0.01,-0.04,162.5, 159.5,  28.2,  28.2,   0.8,   0.0,  14.71,  14.15,     3.93,  152.65,   63.74, 1521.6,  268.73,  266.73,  273.98,  286.49, 1116.32, 1144.35, 1139.10, 1107.32,  5235.8,68.0, NAV1,153.9,114.1,114.1,123.5,128.75,  5.962,       ,   4.85,   2.7,    1.8, -158.2,10.0,      0,  NONE,   NONE,      ,      , -472.4, 3DDiff,1852.0,      ,     12,  16.5,     21,2024-01-29 08:48:59
2024-01-29, 08:49:00,  -07:00,   KPRC,   34.6795464, -112.4003143,5308.0,30.34,  5315.1,   7.2,63.36,  74.22,-402.76,-4.03,12.68,-0.01,-0.0,166.2, 163.3,  28.2,  28.2,   0.7,  -0.0,  14.66,  14.15,     4.45,  152.65,   65.29, 1622.3,  268.25,  266.36,  273.64,  286.04, 1116.40, 1145.58, 1139.11, 1109.23,  5227.3,68.0, NAV1,153.9,114.1,114.1,123.5,128.75,  5.945,       ,   4.91,   0.1,    1.8, -157.8,10.0,      0,  NONE,   NONE,      ,      , -622.0, 3DDiff,1852.0,      ,     12,  16.5,     20,2024-01-29 08:49:00
