Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2023-11-29, 14:11:35,  -07:00,   KPRC,   34.6716423, -112.3981171,5312.8,29.92,  5311.6,11.5,58.79,  65.84,-697.05,-1.45,-18.86,-0.02,0.02,260.7, 269.4,  28.1,  28.1,   0.7,   0.0,  20.09,  23.04,     2.73,  165.67,   59.76, 1319.9,  276.06,  283.83,  292.43,  302.21, 1087.10, 1125.42, 1130.05, 1100.74,  5223.6,64.0,  GPS,180.7,114.1,114.1,127.2,125.3,  0.838,       ,   5.92, -161.0,    1.5, -144.0,10.1,      0,  NONE,   NONE,      ,      , -720.5, 3DDiff,1852.0,      ,     11,  12.5,     16,2023-11-29 14:11:35
2023-11-29, 14:11:36,  -07:00,   KPRC,   34.6716614, -112.3984756,5299.8,29.92,  5298.8,11.5,58.27,  65.39,-690.42,-1.04,-18.6,-0.01,0.06,255.3, 263.7,  28.1,  28.1,   0.6,   0.0,  20.09,  23.04,     2.73,  165.67,   59.67, 1312.4,  275.22,  283.07,  291.72,  301.52, 1099.12, 1122.06, 1128.22, 1099.52,  5210.7,64.0,  GPS,180.7,114.1,114.1,127.2,125.3,  0.820,       ,   6.01, -162.0,    1.4, -144.6,10.1,      0,  NONE,   NONE,      ,      , -767.7, 3DDiff,1852.0,      ,     11,  12.5,     16,2023-11-29 14:11:36
2023-11-29, 14:11:37,  -07:00,   KPRC,   34.6716537, -112.3988419,5287.8,29.92,  5286.3,11.5,58.36,  65.12,-718.17,-1.31,-18.49,-0.01,0.03,249.8, 258.1,  28.1,  28.1,   0.6,   0.0,  19.92,  22.83,     2.76,  165.66,   59.72, 1312.6,  274.40,  282.37,  291.07,  300.79, 1107.82, 1120.27, 1127.26, 1097.66,  5198.3,64.0,  GPS,180.7,114.1,114.1,127.2,125.3,  0.802,       ,   6.11, -163.1,    1.4, -145.1,10.1,      0,  NONE,   NONE,      ,      , -752.0, 3DDiff,1852.0,      ,     11,  12.5,     17,2023-11-29 14:11:37
2023-11-29, 14:11:38,  -07:00,   KPRC,   34.6716156, -112.3992004,5276.8,29.92,  5273.4,11.5,59.1,  64.79,-707.92,-0.98,-18.39,-0.02,0.04,244.5, 252.4,  28.1,  28.1,   0.6,  -0.0,  19.76,  22.57,     2.73,  165.65,   59.76, 1317.1,  273.58,  281.66,  290.40,  300.19, 1113.69, 1119.91, 1126.36, 1096.46,  5185.4,65.0,  GPS,180.7,114.1,114.1,127.2,125.3,  0.785,       ,   6.22, -164.4,    1.4, -145.5,10.1,      0,  NONE,   NONE,      ,      , -767.7, 3DDiff,1852.0,      ,     11,  12.5,     17,2023-11-29 14:11:38
2023-11-29, 14:11:39,  -07:00,   KPRC,   34.6715469, -112.3995514,5263.8,29.92,  5261.2,11.5,58.2,  64.42,-726.66,-0.31,-17.11,-0.01,0.07,239.4, 246.8,  28.1,  28.1,   0.7,   0.0,  19.69,  22.34,     2.77,  165.63,   60.35, 1344.5,  272.77,  280.95,  289.73,  299.52, 1117.89, 1118.50, 1127.02, 1095.80,  5173.2,64.0,  GPS,180.7,114.1,114.1,127.2,125.3,  0.769,       ,   6.34, -165.8,    1.4, -145.9,10.1,      0,  NONE,   NONE,      ,      , -759.8, 3DDiff,1852.0,      ,     11,  13.0,     16,2023-11-29 14:11:39
2023-11-29, 14:11:40,  -07:00,   KPRC,   34.6714516, -112.3998947,5250.8,29.92,  5249.8,11.5,57.79,  64.11,-759.95,0.12,-15.18,0.01,0.09,235.1, 241.5,  28.1,  28.1,   0.7,   0.0,  19.58,  22.11,     3.17,  165.61,   61.70, 1429.3,  271.97,  280.25,  289.07,  298.87, 1117.06, 1117.50, 1127.94, 1097.03,  5161.8,63.0,  GPS,180.7,114.1,114.1,127.2,125.3,  0.753,       ,   6.46, -167.3,    1.4, -146.2,10.1,      0,  NONE,   NONE,      ,      , -732.3, 3DDiff,1852.0,      ,     11,  12.0,     16,2023-11-29 14:11:40
2023-11-29, 14:11:41,  -07:00,   KPRC,   34.6713333, -112.4002228,5237.8,29.92,  5239.4,11.5,57.68,  63.95,-788.82,0.05,-13.46,-0.02,0.09,230.9, 236.7,  28.1,  28.1,   0.7,   0.0,  19.58,  21.90,     3.57,  165.60,   63.23, 1516.8,  271.21,  279.59,  288.44,  298.23, 1114.96, 1119.60, 1129.39, 1100.22,  5151.4,63.0,  GPS,180.7,114.1,114.1,127.2,125.3,  0.739,       ,   6.57, -168.9,    1.4, -146.5,10.1,      0,  NONE,   NONE,      ,      , -637.8, 3DDiff,1852.0,      ,     11,  12.5,     16,2023-11-29 14:11:41
2023-11-29, 14:11:42,  -07:00,   KPRC,   34.6711960, -112.4005432,5229.8,29.92,  5230.3,11.5,57.63,  64.01,-703.44,-0.97,-11.8,-0.02,0.02,227.4, 232.5,  28.1,  28.1,   0.6,  -0.0,  19.45,  21.90,     3.54,  165.57,   63.15, 1527.8,  270.44,  278.93,  287.85,  297.60, 1115.90, 1123.51, 1132.35, 1104.01,  5142.3,63.0,  GPS,180.7,114.1,114.1,127.2,125.3,  0.724,       ,   6.66, -170.5,    1.3, -146.8,10.1,      0,  NONE,   NONE,      ,      , -551.2, 3DDiff,1852.0,      ,     11,  13.0,     16,2023-11-29 14:11:42
2023-11-29, 14:11:43,  -07:00,   KPRC,   34.6710396, -112.4008560,5220.8,29.92,  5220.9,11.5,58.44,  64.13,-604.79,-1.14,-10.9,0.0,0.0,225.5, 228.8,  28.1,  28.1,   0.7,   0.0,  19.45,  21.75,     3.57,  165.54,   62.81, 1502.9,  269.70,  278.30,  287.21,  297.00, 1116.90, 1126.66, 1134.35, 1106.76,  5132.9,64.0,  GPS,180.7,114.1,114.1,127.2,125.3,  0.711,       ,   6.73, -172.2,    1.3, -147.0,10.1,      0,  NONE,   NONE,      ,      , -566.9, 3DDiff,1852.0,      ,     11,  13.0,     17,2023-11-29 14:11:43
2023-11-29, 14:11:44,  -07:00,   KPRC,   34.6708755, -112.4011536,5209.8,29.92,  5211.3,11.5,58.67,  64.34,-601.15,-1.13,-9.44,0.0,0.01,223.9, 225.5,  28.0,  28.1,   0.7,   0.0,  19.40,  21.68,     3.53,  165.51,   62.64, 1489.7,  268.99,  277.66,  286.65,  296.39, 1118.57, 1126.82, 1133.96, 1108.11,  5123.3,64.0,  GPS,180.7,114.1,114.1,127.2,125.3,  0.699,       ,   6.77, -174.0,    1.3, -147.1,10.1,      0,  NONE,   NONE,      ,      , -582.7, 3DDiff,1852.0,      ,     11,  13.0,     17,2023-11-29 14:11:44
