Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2024-01-05, 18:20:56,  -07:00,       ,   34.6413269, -112.4148865,5140.7,30.0,  5157.9,4.2,63.12,  59.83,-390.13,-1.72,2.1,0.01,-0.03,307.4, 307.1,  28.0,  28.0,   1.6,   0.0,  23.25,  22.30,     4.92,  148.71,   66.50, 1690.0,  255.87,  261.57,  269.58,  279.74, 1159.97, 1173.90, 1177.62, 1150.58,  5069.5,68,  GPS,39.0,114.1,114.1,121.7,125.3,       ,       ,  10.53, -39.8,       ,       ,10.0,      0,  NONE,   NONE,      ,      , -519.7, 3DDiff,3704.0,      ,     10,  13.5,     20,2024-01-05 18:20:56
2024-01-05, 18:20:57,  -07:00,       ,   34.6415329, -112.4151230,5129.7,30.0,  5149.1,4.2,63.03,  59.95,-480.68,-1.02,0.09,-0.01,-0.01,307.3, 307.4,  27.9,  27.9,   1.7,   0.0,  23.30,  22.34,     4.95,  148.64,   66.26, 1684.4,  255.73,  261.40,  269.46,  279.61, 1156.17, 1170.98, 1175.89, 1146.56,  5060.7,68,  GPS,39.0,114.1,114.1,121.7,125.3,       ,       ,  10.41, -40.0,       ,       ,10.0,      0,  NONE,   NONE,      ,      , -527.6, 3DDiff,3704.0,      ,     10,  13.5,     20,2024-01-05 18:20:57
2024-01-05, 18:20:58,  -07:00,       ,   34.6417351, -112.4153442,5121.7,30.0,  5140.2,4.2,62.69,  60.05,-514.28,-0.49,0.07,-0.01,0.03,306.3, 307.2,  27.9,  27.9,   1.5,  -0.0,  23.30,  22.34,     5.35,  148.57,   67.53, 1753.5,  255.57,  261.25,  269.33,  279.45, 1155.19, 1170.13, 1177.16, 1147.02,  5051.8,68,  GPS,39.0,114.1,114.1,121.7,125.3,       ,       ,  10.28, -40.1,       ,       ,10.0,      0,  NONE,   NONE,      ,      , -488.2, 3DDiff,3704.0,      ,     10,  12.5,     20,2024-01-05 18:20:58
2024-01-05, 18:20:59,  -07:00,       ,   34.6419411, -112.4155807,5115.7,30.0,  5132.2,4.5,62.65,  60.14,-487.79,-1.23,1.32,-0.04,-0.06,305.5, 307.1,  28.0,  28.0,   1.6,   0.0,  23.34,  22.34,     5.37,  148.50,   67.30, 1751.5,  255.44,  261.10,  269.20,  279.32, 1154.50, 1171.56, 1177.56, 1148.81,  5043.8,67,  GPS,39.0,114.1,114.1,121.7,125.3,       ,       ,  10.14, -40.3,       ,       ,10.0,      0,  NONE,   NONE,      ,      , -476.4, 3DDiff,3704.0,      ,     10,  13.0,     20,2024-01-05 18:20:59
2024-01-05, 18:21:00,  -07:00,       ,   34.6421432, -112.4158096,5106.7,30.0,  5124.2,4.5,62.53,  60.24,-464.34,-0.92,0.88,-0.02,0.02,306.0, 307.0,  27.9,  27.9,   1.6,   0.0,  23.34,  22.36,     5.43,  148.43,   67.36, 1748.4,  255.30,  260.95,  269.09,  279.18, 1153.27, 1173.24, 1176.81, 1149.01,  5035.8,67,  GPS,39.0,114.1,114.1,121.7,125.3,       ,       ,  10.00, -40.5,       ,       ,10.0,      0,  NONE,   NONE,      ,      , -519.7, 3DDiff,3704.0,      ,     10,  13.0,     19,2024-01-05 18:21:00
2024-01-05, 18:21:01,  -07:00,       ,   34.6423492, -112.4160461,5096.7,30.0,  5116.1,4.5,62.09,  60.53,-526.19,-1.2,-0.01,0.02,0.0,306.6, 307.0,  27.9,  27.9,   1.6,   0.1,  23.43,  22.38,     5.59,  148.36,   67.92, 1785.2,  255.16,  260.81,  268.98,  279.05, 1153.84, 1174.01, 1175.76, 1150.02,  5027.7,67,  GPS,39.0,114.1,114.1,121.7,125.3,       ,       ,   9.85, -40.8,       ,       ,10.0,      0,  NONE,   NONE,      ,      , -496.1, 3DDiff,3704.0,      ,     10,  13.0,     20,2024-01-05 18:21:01
2024-01-05, 18:21:02,  -07:00,       ,   34.6425552, -112.4162750,5087.7,30.0,  5108.0,4.5,62.08,  60.96,-538.28,-1.32,-0.52,0.01,0.0,305.9, 306.7,  27.9,  27.9,   1.5,   0.0,  23.47,  22.38,     5.61,  148.28,   67.88, 1800.3,  255.04,  260.69,  268.88,  278.94, 1154.91, 1175.84, 1177.13, 1154.21,  5019.6,67,  GPS,39.0,114.1,114.1,121.7,125.3,       ,       ,   9.68, -41.1,       ,       ,10.0,      0,  NONE,   NONE,      ,      , -488.2, 3DDiff,3704.0,      ,     10,  13.5,     20,2024-01-05 18:21:02
2024-01-05, 18:21:03,  -07:00,       ,   34.6427612, -112.4165115,5079.7,30.0,  5099.8,4.5,61.61,  61.39,-527.9,-0.92,1.44,-0.03,0.02,304.6, 306.4,  28.0,  28.0,   1.6,   0.0,  23.45,  22.38,     5.49,  148.21,   67.59, 1770.1,  255.08,  260.71,  268.92,  278.97, 1156.84, 1176.75, 1177.88, 1156.88,  5011.4,66,  GPS,39.0,114.1,114.1,121.7,125.3,       ,       ,   9.51, -41.4,       ,       ,10.0,      0,  NONE,   NONE,      ,      , -488.2, 3DDiff,3704.0,      ,     10,  13.5,     20,2024-01-05 18:21:03
2024-01-05, 18:21:04,  -07:00,       ,   34.6429710, -112.4167480,5073.7,30.0,  5092.8,4.5,62.49,  61.72,-477.65,-0.87,1.63,-0.04,0.02,303.8, 306.4,  28.0,  28.0,   1.6,   0.0,  23.45,  22.38,     5.31,  148.14,   67.10, 1733.9,  255.02,  260.64,  268.86,  278.89, 1157.20, 1175.43, 1177.72, 1155.70,  5004.4,67,  GPS,39.0,114.1,114.1,121.7,125.3,       ,       ,   9.31, -41.9,       ,       ,10.0,      0,  NONE,   NONE,      ,      , -452.8, 3DDiff,3704.0,      ,     10,  12.5,     20,2024-01-05 18:21:04
2024-01-05, 18:21:05,  -07:00,       ,   34.6431770, -112.4169846,5066.7,30.0,  5085.7,4.5,62.35,  61.89,-449.71,-0.66,1.78,-0.01,0.04,304.4, 306.5,  27.9,  27.9,   1.5,   0.0,  23.45,  22.38,     4.83,  148.07,   66.08, 1683.3,  254.93,  260.54,  268.79,  278.80, 1155.19, 1172.86, 1175.10, 1151.35,  4997.3,67,  GPS,39.0,114.1,114.1,121.7,125.3,       ,       ,   9.11, -42.4,       ,       ,10.0,      0,  NONE,   NONE,      ,      , -437.0, 3DDiff,3704.0,      ,     10,  13.0,     20,2024-01-05 18:21:05
