Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2023-12-08, 19:49:22,  -07:00,   KPRC,   34.6398582, -112.4132156,5175.7,30.09,  5197.3,6.5,63.16,  63.41,-416.46,-1.68,-1.91,-0.01,-0.0,305.1, 307.1,  28.1,  28.2,   0.8,  -0.0,  20.02,  17.85,     6.30,  160.41,   69.94, 1987.3,  293.68,  294.60,  302.67,  313.56, 1268.73, 1286.34, 1278.73, 1269.68,  5108.8,68, NAV1,5.0,114.1,114.1,121.7,125.3, -5.996,       ,  10.01, -54.6,    0.9,  -28.4,10.1,      0,  NONE,   NONE,      ,      , -444.9, 3DDiff,1852,      ,     10,  12.0,     24,2023-12-08 19:49:22
2023-12-08, 19:49:23,  -07:00,   KPRC,   34.6400719, -112.4134598,5166.7,30.09,  5187.8,6.5,65.19,  64.05,-464.19,-2.12,-1.41,-0.01,-0.05,304.6, 307.0,  28.1,  28.2,   0.8,   0.0,  19.97,  17.80,     7.29,  160.32,   71.64, 2110.0,  293.44,  294.32,  302.46,  313.25, 1277.65, 1295.69, 1287.57, 1277.01,  5099.3,70, NAV1,5.0,114.1,114.1,121.7,125.3, -5.990,       ,   9.89, -54.8,    0.9,  -27.9,10.1,      0,  NONE,   NONE,      ,      , -456.7, 3DDiff,1852,      ,     10,  12.0,     24,2023-12-08 19:49:23
2023-12-08, 19:49:24,  -07:00,   KPRC,   34.6402931, -112.4137039,5159.7,30.09,  5180.3,6.5,67.52,  64.69,-447.46,-0.52,-3.79,0.01,0.15,304.4, 306.7,  28.1,  28.1,   0.8,   0.0,  19.89,  17.72,     7.49,  160.21,   72.23, 2181.1,  293.24,  294.06,  302.26,  312.97, 1293.85, 1310.43, 1304.15, 1289.16,  5091.9,73, NAV1,5.0,114.1,114.1,121.7,125.3, -5.995,       ,   9.75, -55.0,    0.9,  -27.4,10.1,      0,  NONE,   NONE,      ,      , -440.9, 3DDiff,1852,      ,     10,  12.0,     24,2023-12-08 19:49:24
2023-12-08, 19:49:25,  -07:00,   KPRC,   34.6405106, -112.4139633,5153.7,30.09,  5177.7,6.5,65.86,  65.59,-463.03,-1.91,0.47,0.04,-0.2,304.1, 306.2,  28.1,  28.2,   0.9,   0.0,  19.89,  17.72,     7.52,  160.11,   72.19, 2208.6,  293.06,  293.83,  302.08,  312.70, 1310.79, 1325.32, 1317.16, 1302.85,  5089.2,71, NAV1,5.0,114.1,114.1,121.7,125.3, -6.022,       ,   9.62, -55.3,    0.9,  -26.9,10.1,      0,  NONE,   NONE,      ,      , -192.9, 3DDiff,1852,      ,     10,  12.0,     24,2023-12-08 19:49:25
2023-12-08, 19:49:26,  -07:00,   KPRC,   34.6407318, -112.4142227,5152.7,30.09,  5173.3,6.5,67.33,  66.23,-303.04,-1.18,0.1,0.02,0.02,304.0, 306.1,  28.1,  28.2,   0.8,   0.0,  19.89,  17.72,     7.23,  160.01,   71.84, 2185.1,  292.91,  293.62,  301.94,  312.45, 1323.22, 1336.55, 1328.17, 1313.23,  5084.9,73, NAV1,5.0,114.1,114.1,121.7,125.3, -6.038,       ,   9.49, -55.6,    0.9,  -26.4,10.1,      0,  NONE,   NONE,      ,      , -244.1, 3DDiff,1852,      ,     10,  12.5,     24,2023-12-08 19:49:26
2023-12-08, 19:49:27,  -07:00,   KPRC,   34.6409531, -112.4144821,5148.7,30.09,  5168.6,6.5,68.07,  66.62,-269.26,-0.92,-0.19,0.01,0.0,303.7, 306.1,  28.1,  28.2,   0.9,   0.0,  19.89,  17.72,     6.65,  159.92,   71.58, 2139.5,  292.79,  293.42,  301.81,  312.24, 1329.10, 1342.43, 1333.43, 1317.77,  5080.1,73, NAV1,5.0,114.1,114.1,121.7,125.3, -6.045,       ,   9.34, -56.0,    0.9,  -25.8,10.1,      0,  NONE,   NONE,      ,      , -259.8, 3DDiff,1852,      ,     10,  12.0,     24,2023-12-08 19:49:27
2023-12-08, 19:49:28,  -07:00,   KPRC,   34.6411781, -112.4147415,5146.7,30.09,  5163.8,6.5,66.66,  66.73,-202.54,-1.89,2.38,0.01,-0.04,304.1, 306.4,  28.1,  28.1,   0.8,   0.0,  19.89,  17.67,     5.73,  159.84,   69.37, 1987.5,  292.70,  293.26,  301.72,  312.05, 1323.57, 1337.51, 1326.69, 1311.34,  5075.4,72, NAV1,5.0,114.1,114.1,121.7,125.3, -6.039,       ,   9.20, -56.4,    0.8,  -25.2,10.1,      0,  NONE,   NONE,      ,      , -283.5, 3DDiff,1852,      ,     10,  12.0,     24,2023-12-08 19:49:28
2023-12-08, 19:49:29,  -07:00,   KPRC,   34.6414032, -112.4150009,5140.7,30.09,  5158.9,6.5,66.9,  66.81,-222.25,-1.81,0.15,0.04,-0.04,304.7, 307.1,  28.1,  28.2,   0.8,   0.0,  19.89,  17.48,     5.44,  159.76,   68.07, 1917.9,  292.64,  293.13,  301.62,  311.87, 1309.44, 1326.08, 1314.84, 1301.54,  5070.5,72, NAV1,5.0,114.1,114.1,121.7,125.3, -6.015,       ,   9.05, -56.9,    0.8,  -24.6,10.1,      0,  NONE,   NONE,      ,      , -330.7, 3DDiff,1852,      ,     10,  12.0,     24,2023-12-08 19:49:29
2023-12-08, 19:49:30,  -07:00,   KPRC,   34.6416321, -112.4152527,5133.7,30.09,  5152.9,6.5,66.75,  66.75,-305.42,-2.07,-2.54,0.06,-0.07,305.2, 307.2,  28.1,  28.1,   0.8,   0.0,  19.92,  17.40,     5.14,  159.68,   67.59, 1854.6,  292.61,  293.00,  301.57,  311.72, 1297.16, 1313.14, 1302.82, 1292.23,  5064.5,72, NAV1,5.0,114.1,114.1,121.7,125.3, -5.999,       ,   8.89, -57.4,    0.8,  -24.0,10.1,      0,  NONE,   NONE,      ,      , -354.3, 3DDiff,1852,      ,     10,  12.0,     24,2023-12-08 19:49:30
2023-12-08, 19:49:31,  -07:00,   KPRC,   34.6418610, -112.4155045,5125.7,30.09,  5146.3,6.5,65.75,  66.69,-359.32,-1.75,-3.21,0.0,-0.08,304.7, 306.8,  28.1,  28.2,   0.9,   0.0,  19.92,  17.40,     5.04,  159.59,   67.20, 1829.8,  292.43,  292.74,  301.38,  311.43, 1284.14, 1299.46, 1291.27, 1283.88,  5057.9,71, NAV1,5.0,114.1,114.1,121.7,125.3, -5.981,       ,   8.72, -57.9,    0.8,  -23.3,10.1,      0,  NONE,   NONE,      ,      , -393.7, 3DDiff,1852,      ,     10,  12.0,     24,2023-12-08 19:49:31
