Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2023-10-30, 10:21:57,  -07:00,   KSEZ,   34.8353882, -111.8091125,5362.3,30.29,  5370.7,7.2,72.44,  72.60,-741.53,-0.42,-13.93,0.0,0.1,94.1, 103.9,  28.2,  28.2,   0.7,   0.0,  19.51,  20.32,     1.64,  170.99,   59.83, 1361.1,  332.26,  336.64,  338.65,  352.42, 1088.35, 1119.55, 1153.61, 1120.00,  5288.2,78.0,  GPS,104.1,114.1,114.1,125.3,123.0, -1.137,       ,  19.46,  54.8,    1.3,   42.4,9.9,      0,  NONE,   NONE,      ,      , -811.0, 3DDiff,1852.0,      ,     11,  13.5,     17,2023-10-30 10:21:57
2023-10-30, 10:21:58,  -07:00,   KSEZ,   34.8352776, -111.8087387,5350.3,30.29,  5359.0,7.5,72.21,  71.98,-725.54,-0.36,-14.07,0.01,0.02,91.5, 100.2,  28.2,  28.2,   0.7,   0.0,  19.53,  20.46,     1.63,  171.12,   59.80, 1364.0,  331.14,  335.65,  337.71,  351.50, 1091.97, 1119.59, 1153.53, 1120.77,  5276.5,78.0,  GPS,104.1,114.1,114.1,125.3,123.0, -1.136,       ,  19.13,  54.4,    1.3,   41.6,9.9,      0,  NONE,   NONE,      ,      , -704.7, 3DDiff,1852.0,      ,     12,  14.0,     18,2023-10-30 10:21:58
2023-10-30, 10:21:59,  -07:00,   KSEZ,   34.8351822, -111.8083496,5337.3,30.29,  5347.4,7.5,72.54,  71.24,-715.75,-0.76,-14.74,0.05,-0.03,89.1,  96.7,  28.2,  28.2,   0.6,   0.0,  19.56,  20.59,     1.58,  171.23,   59.84, 1371.7,  330.05,  334.78,  336.79,  350.57, 1094.65, 1119.05, 1153.97, 1121.89,  5264.8,78.0,  GPS,104.1,114.1,114.1,125.3,123.0, -1.133,       ,  18.79,  54.1,    1.3,   40.9,9.9,      0,  NONE,   NONE,      ,      , -704.7, 3DDiff,1852.0,      ,     12,  13.5,     18,2023-10-30 10:21:59
2023-10-30, 10:22:00,  -07:00,   KSEZ,   34.8351059, -111.8079681,5326.3,30.29,  5333.5,7.5,73.18,  70.62,-757.11,-2.02,-14.83,0.01,-0.0,84.4,  93.3,  28.2,  28.2,   0.7,   0.0,  19.56,  20.69,     1.64,  171.35,   60.00, 1362.6,  328.95,  333.72,  335.86,  349.64, 1096.13, 1118.96, 1155.23, 1122.86,  5251.0,79.0,  GPS,104.1,114.1,114.1,125.3,123.0, -1.130,       ,  18.44,  53.7,    1.3,   40.2,9.9,      0,  NONE,   NONE,      ,      , -763.8, 3DDiff,1852.0,      ,     12,  13.5,     18,2023-10-30 10:22:00
2023-10-30, 10:22:01,  -07:00,   KSEZ,   34.8350563, -111.8075714,5320.3,30.29,  5320.2,7.5,75.28,  69.94,-620.66,-0.3,-13.26,-0.02,0.06,80.5,  89.6,  28.2,  28.2,   0.6,   0.0,  19.56,  20.69,     1.62,  171.47,   60.12, 1375.7,  327.87,  332.76,  334.96,  348.72, 1095.56, 1119.67, 1157.21, 1124.78,  5237.4,81.0,  GPS,104.1,114.1,114.1,125.3,123.0, -1.125,       ,  18.09,  53.3,    1.2,   39.5,9.9,      0,  NONE,   NONE,      ,      , -822.8, 3DDiff,1852.0,      ,     11,  13.5,     17,2023-10-30 10:22:01
2023-10-30, 10:22:02,  -07:00,   KSEZ,   34.8350220, -111.8071823,5306.3,30.29,  5306.4,7.5,73.66,  69.10,-619.72,0.1,-15.96,0.01,-0.0,78.9,  85.7,  28.2,  28.2,   0.7,   0.0,  19.56,  20.76,     1.63,  171.57,   60.08, 1370.9,  326.79,  331.80,  334.03,  347.80, 1094.82, 1120.55, 1159.20, 1125.47,  5223.7,80.0,  GPS,104.1,114.1,114.1,125.3,123.0, -1.119,       ,  17.76,  52.9,    1.2,   38.8,9.9,      0,  NONE,   NONE,      ,      , -818.9, 3DDiff,1852.0,      ,     11,  13.5,     17,2023-10-30 10:22:02
2023-10-30, 10:22:03,  -07:00,   KSEZ,   34.8350143, -111.8068008,5287.3,30.29,  5291.3,7.5,73.36,  68.23,-780.5,-0.25,-20.94,0.02,-0.05,75.9,  81.6,  28.2,  28.2,   0.6,  -0.0,  19.51,  20.79,     1.84,  171.66,   60.28, 1388.0,  325.72,  330.86,  333.12,  346.88, 1096.17, 1121.70, 1162.39, 1126.26,  5208.6,79.0,  GPS,104.1,114.1,114.1,125.3,123.0, -1.111,       ,  17.45,  52.5,    1.2,   38.2,9.9,      0,  NONE,   NONE,      ,      , -901.6, 3DDiff,1852.0,      ,     11,  13.5,     17,2023-10-30 10:22:03
2023-10-30, 10:22:04,  -07:00,   KSEZ,   34.8350296, -111.8064194,5271.3,30.29,  5274.2,7.5,72.29,  67.61,-934.03,-0.13,-17.18,0.01,0.1,69.4,  77.0,  28.2,  28.2,   0.7,   0.0,  19.56,  20.66,     1.86,  171.75,   60.66, 1401.3,  324.64,  329.90,  332.22,  345.97, 1100.74, 1126.06, 1164.22, 1129.71,  5191.5,78.0,  GPS,104.1,114.1,114.1,125.3,123.0, -1.103,       ,  17.14,  52.2,    1.2,   37.7,9.9,      0,  NONE,   NONE,      ,      , -1031.5, 3DDiff,1852.0,      ,     12,  14.0,     18,2023-10-30 10:22:04
2023-10-30, 10:22:05,  -07:00,   KSEZ,   34.8350754, -111.8060532,5253.3,30.29,  5258.9,7.5,73.11,  66.98,-995.66,-0.12,-18.34,-0.01,0.12,62.1,  71.7,  28.2,  28.2,   0.7,   0.0,  19.51,  20.51,     1.91,  171.83,   60.81, 1414.7,  323.58,  328.96,  331.32,  345.05, 1105.33, 1129.11, 1165.60, 1131.67,  5176.1,79.0,  GPS,104.1,114.1,114.1,125.3,123.0, -1.093,       ,  16.84,  51.8,    1.2,   37.2,9.9,      0,  NONE,   NONE,      ,      , -917.3, 3DDiff,1852.0,      ,     12,  13.5,     18,2023-10-30 10:22:05
2023-10-30, 10:22:06,  -07:00,   KSEZ,   34.8351517, -111.8056870,5247.3,30.29,  5246.9,7.5,76.07,  66.05,-843.44,-0.13,-19.71,-0.02,0.08,55.3,  65.9,  28.2,  28.2,   0.6,   0.0,  19.43,  20.44,     1.89,  171.91,   61.00, 1428.6,  322.50,  328.01,  330.42,  344.13, 1109.64, 1131.16, 1166.43, 1132.39,  5164.2,82.0,  GPS,104.1,114.1,114.1,125.3,123.0, -1.082,       ,  16.33,  51.0,    1.2,   36.7,9.9,      0,  NONE,   NONE,      ,      , -779.5, 3DDiff,1852.0,      ,     12,  13.5,     18,2023-10-30 10:22:06
