Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2023-12-01, 12:02:33,  -07:00,   KPRC,   34.6807861, -112.4075089,5574.3,29.98,  5569.6,5.5,69.67,  82.65,-1020.68,-0.88,20.3,0.07,0.18,121.6, 110.1,  28.2,  28.2,   1.0,   0.0,  14.91,  17.67,     1.07,  159.73,   54.88, 1014.9,  314.58,  315.27,  318.62,  331.99,  753.09,  806.36,  879.97, 1013.11,  5481.5,76.0,  GPS,219.2,114.1,114.1,121.7,125.3, -0.799,       ,   6.47, -118.7,    1.7, -169.6,10.1,      0,  NONE,   NONE,      ,      , -980.3, 3DDiff,1852.0,      ,     17,  30.0,     32,2023-12-01 12:02:33
2023-12-01, 12:02:34,  -07:00,   KPRC,   34.6805573, -112.4071350,5554.3,29.98,  5555.5,5.5,69.68,  82.56,-1120.64,-0.15,15.77,0.06,0.13,126.8, 116.1,  28.2,  28.2,   0.9,   0.0,  14.71,  17.75,     1.07,  159.88,   54.87, 1012.2,  313.50,  314.36,  317.73,  331.17,  748.65,  799.65,  891.61, 1012.95,  5467.4,76.0,  GPS,219.2,114.1,114.1,121.7,125.3, -0.777,       ,   6.81, -122.2,    1.7, -168.9,10.1,      0,  NONE,   NONE,      ,      , -850.4, 3DDiff,1852.0,      ,     17,  30.0,     32,2023-12-01 12:02:34
2023-12-01, 12:02:35,  -07:00,   KPRC,   34.6803093, -112.4067841,5540.3,29.98,  5544.9,5.5,69.07,  82.26,-1070.41,0.75,10.74,0.04,0.09,130.0, 120.9,  28.1,  28.2,   0.9,   0.0,  14.61,  17.75,     1.08,  160.03,   54.84, 1015.8,  312.42,  313.42,  316.82,  330.34,  740.13,  796.61,  894.68, 1014.05,  5456.8,75.0,  GPS,219.2,114.1,114.1,121.7,125.3, -0.754,       ,   7.20, -125.0,    1.6, -168.1,10.1,      0,  NONE,   NONE,      ,      , -708.7, 3DDiff,1852.0,      ,     17,  30.0,     32,2023-12-01 12:02:35
2023-12-01, 12:02:36,  -07:00,   KPRC,   34.6800423, -112.4064636,5530.3,29.98,  5534.9,5.5,69.59,  81.91,-911.44,0.85,8.55,0.06,0.01,133.8, 124.3,  28.2,  28.2,   1.0,   0.0,  14.61,  17.88,     1.09,  160.18,   54.92, 1014.1,  311.35,  312.50,  315.91,  329.50,  736.54,  799.18,  895.12, 1009.96,  5446.8,76.0,  GPS,219.2,114.1,114.1,121.7,125.3, -0.732,       ,   7.63, -126.9,    1.6, -167.4,10.1,      0,  NONE,   NONE,      ,      , -610.2, 3DDiff,1852.0,      ,     17,  30.0,     32,2023-12-01 12:02:36
2023-12-01, 12:02:37,  -07:00,   KPRC,   34.6797676, -112.4061508,5519.3,29.98,  5526.2,5.5,68.46,  81.47,-794.11,1.05,5.6,0.06,-0.02,134.9, 127.0,  28.2,  28.2,   1.0,   0.0,  14.59,  18.04,     1.11,  160.32,   54.93, 1013.1,  310.27,  311.57,  315.01,  328.67,  731.72,  794.48,  885.78, 1004.43,  5438.2,74.0,  GPS,219.2,114.1,114.1,121.7,125.3, -0.709,       ,   8.06, -128.2,    1.6, -166.7,10.1,      0,  NONE,   NONE,      ,      , -578.7, 3DDiff,1852.0,      ,     16,  29.5,     32,2023-12-01 12:02:37
2023-12-01, 12:02:38,  -07:00,   KPRC,   34.6794815, -112.4058609,5517.3,29.98,  5516.3,5.5,69.98,  81.00,-574.71,1.65,5.08,0.03,-0.0,134.0, 129.1,  28.1,  28.2,   1.0,   0.0,  14.59,  18.19,     1.10,  160.47,   55.01, 1014.2,  309.18,  310.64,  314.10,  327.84,  727.80,  784.81,  880.27, 1000.43,  5428.2,76.0,  GPS,219.2,114.1,114.1,121.7,125.3, -0.687,       ,   8.47, -128.8,    1.6, -165.9,10.1,      0,  NONE,   NONE,      ,      , -586.6, 3DDiff,1852.0,      ,     16,  29.5,     32,2023-12-01 12:02:38
2023-12-01, 12:02:39,  -07:00,   KPRC,   34.6791954, -112.4055710,5516.3,29.98,  5506.5,5.5,70.61,  80.55,-336.29,0.62,4.37,0.01,-0.02,133.9, 130.5,  28.1,  28.2,   0.9,   0.0,  14.54,  18.43,     1.13,  160.62,   55.08, 1014.4,  308.09,  309.70,  313.19,  327.01,  722.62,  779.22,  880.18, 1000.40,  5418.5,77.0,  GPS,219.2,114.1,114.1,121.7,125.3, -0.664,       ,   8.85, -129.0,    1.6, -165.2,10.1,      0,  NONE,   NONE,      ,      , -598.4, 3DDiff,1852.0,      ,     17,  30.0,     32,2023-12-01 12:02:39
2023-12-01, 12:02:40,  -07:00,   KPRC,   34.6789055, -112.4052887,5507.3,29.98,  5495.6,5.8,69.97,  80.32,-321.79,0.9,3.0,0.01,0.1,134.6, 131.5,  28.2,  28.2,   1.0,   0.0,  14.47,  18.61,     1.08,  160.76,   54.99, 1008.6,  306.98,  308.75,  312.29,  326.16,  717.73,  785.36,  884.69, 1001.04,  5407.5,76.0,  GPS,219.2,114.1,114.1,121.7,125.3, -0.642,       ,   9.16, -128.9,    1.6, -164.5,10.1,      0,  NONE,   NONE,      ,      , -665.4, 3DDiff,1852.0,      ,     17,  30.0,     32,2023-12-01 12:02:40
2023-12-01, 12:02:41,  -07:00,   KPRC,   34.6786079, -112.4050140,5495.3,29.98,  5485.0,5.8,69.45,  80.55,-468.23,0.14,1.25,0.02,0.0,134.8, 132.5,  28.2,  28.2,   1.0,   0.0,  14.44,  18.61,     1.09,  160.91,   54.83,  998.9,  305.88,  307.81,  311.37,  325.31,  717.20,  793.83,  876.97,  999.76,  5397.0,76.0,  GPS,219.2,114.1,114.1,121.7,125.3, -0.620,       ,   9.40, -128.6,    1.6, -163.8,10.1,      0,  NONE,   NONE,      ,      , -570.9, 3DDiff,1852.0,      ,     17,  29.5,     32,2023-12-01 12:02:41
2023-12-01, 12:02:42,  -07:00,   KPRC,   34.6783104, -112.4047394,5488.3,29.98,  5475.9,5.8,70.98,  80.67,-492.12,0.45,-0.99,0.01,-0.01,134.6, 132.8,  28.1,  28.2,   1.0,   0.0,  14.44,  18.73,     1.11,  161.05,   54.94,  999.4,  304.78,  306.88,  310.44,  324.45,  717.04,  794.33,  873.87,  992.74,  5387.8,77.0,  GPS,219.2,114.1,114.1,121.7,125.3, -0.597,       ,   9.56, -128.1,    1.6, -163.1,10.1,      0,  NONE,   NONE,      ,      , -566.9, 3DDiff,1852.0,      ,     17,  30.0,     32,2023-12-01 12:02:42
