Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2024-02-14, 14:12:33,  -07:00,   KPRC,   35.0247917, -112.6626740,5713.7,30.14,  5706.5,7.8,72.22,  80.18,-867.38,-0.87,-27.36,-0.02,0.02,171.0, 175.6,  28.2,  28.2,   0.7,   0.0,  20.12,  20.64,     1.08,  151.35,   58.97, 1042.8,  158.74,  170.70,  173.36,  193.66,  652.05,  735.46,  733.69,  864.76,  5621.2,79, NAV1,331.0,114.1,114.1,121.7,123.5,  1.044,       ,   4.26, 128.5,   25.2,  141.3,10.2,      0,  NONE,   NONE,      ,      , -460.6, 3DDiff,1852.0,      ,     10,  17.0,     16,2024-02-14 14:12:33
2024-02-14, 14:12:34,  -07:00,   KPRC,   35.0244179, -112.6626663,5710.7,30.14,  5701.2,7.8,75.48,  80.46,-715.5,0.99,-22.57,0.07,0.09,161.8, 168.9,  28.2,  28.2,   0.7,   0.0,  20.22,  20.32,     1.06,  151.27,   59.06, 1047.0,  158.64,  170.59,  173.24,  193.56,  643.65,  725.77,  731.55,  874.60,  5615.8,82, NAV1,331.0,114.1,114.1,121.7,123.5,  1.068,       ,   4.44, 126.3,   25.2,  141.2,10.2,      0,  NONE,   NONE,      ,      , -322.8, 3DDiff,1852.0,      ,     10,  14.0,     16,2024-02-14 14:12:34
2024-02-14, 14:12:35,  -07:00,   KPRC,   35.0240517, -112.6626129,5713.7,30.14,  5698.9,7.8,77.16,  79.68,-351.95,3.27,-23.93,-0.02,0.44,153.3, 162.2,  28.2,  28.2,   0.7,   0.0,  20.22,  20.32,     1.08,  151.19,   59.62, 1073.8,  158.53,  170.48,  173.12,  193.46,  632.67,  718.48,  731.07,  884.73,  5613.5,84, NAV1,331.0,114.1,114.1,121.7,123.5,  1.049,       ,   4.63, 124.1,   25.2,  141.2,10.2,      0,  NONE,   NONE,      ,      , -106.3, 3DDiff,1852.0,      ,     10,  14.0,     16,2024-02-14 14:12:35
2024-02-14, 14:12:36,  -07:00,   KPRC,   35.0237007, -112.6624985,5715.7,30.14,  5701.8,7.8,74.3,  78.57,-128.72,4.1,-15.62,-0.02,0.11,149.2, 155.2,  28.2,  28.2,   0.7,   0.0,  20.32,  19.97,     1.08,  151.12,   59.29, 1057.5,  158.44,  170.37,  172.98,  193.37,  626.01,  709.07,  736.03,  880.09,  5616.5,81, NAV1,331.0,114.1,114.1,121.7,123.5,  1.124,       ,   4.85, 122.0,   25.2,  141.2,10.2,      0,  NONE,   NONE,      ,      , 161.4, 3DDiff,1852.0,      ,     10,  13.5,     16,2024-02-14 14:12:36
2024-02-14, 14:12:37,  -07:00,   KPRC,   35.0233612, -112.6623611,5719.7,30.14,  5706.8,7.8,73.06,  77.15,53.15,6.11,-8.5,-0.01,-0.03,147.4, 150.7,  28.2,  28.2,   0.7,   0.0,  20.51,  19.40,     1.02,  151.04,   59.04, 1042.3,  158.33,  170.26,  172.84,  193.27,  620.20,  700.99,  733.83,  873.56,  5621.5,80, NAV1,331.0,114.1,114.1,121.7,123.5,  1.045,       ,   5.09, 119.8,   25.1,  141.2,10.2,      0,  NONE,   NONE,      ,      , 267.7, 3DDiff,1852.0,      ,     10,  13.5,     16,2024-02-14 14:12:37
2024-02-14, 14:12:38,  -07:00,   KPRC,   35.0230370, -112.6622009,5721.7,30.14,  5710.8,8.0,69.73,  75.36,119.69,5.41,-10.45,0.03,-0.1,147.0, 148.4,  28.2,  28.2,   0.7,   0.0,  20.74,  18.94,     1.04,  150.97,   58.66, 1017.4,  158.22,  170.14,  172.73,  193.17,  618.54,  697.99,  737.99,  880.11,  5625.5,76, NAV1,331.0,114.1,114.1,121.7,123.5,  0.931,       ,   5.33, 117.7,   25.1,  141.2,10.2,      0,  NONE,   NONE,      ,      , 240.2, 3DDiff,1852.0,      ,     10,  13.0,     16,2024-02-14 14:12:38
2024-02-14, 14:12:39,  -07:00,   KPRC,   35.0227280, -112.6620331,5720.7,30.14,  5711.9,8.0,70.36,  73.59,92.89,7.0,-16.25,0.01,-0.04,144.5, 145.7,  28.2,  28.2,   0.7,   0.0,  20.81,  18.58,     1.06,  150.89,   58.47, 1010.4,  158.10,  170.02,  172.62,  193.08,  613.37,  696.04,  739.10,  887.83,  5626.5,77, NAV1,331.0,114.1,114.1,121.7,123.5,  0.852,       ,   5.53, 115.9,   25.1,  141.2,10.2,      0,  NONE,   NONE,      ,      ,  78.7, 3DDiff,1852.0,      ,     10,  13.0,     16,2024-02-14 14:12:39
2024-02-14, 14:12:40,  -07:00,   KPRC,   35.0224342, -112.6618500,5715.7,30.14,  5709.8,8.0,66.3,  71.86,-46.85,6.03,-16.72,0.05,-0.12,141.3, 142.0,  28.2,  28.2,   0.7,   0.0,  20.76,  18.32,     1.06,  150.81,   58.18,  995.2,  158.00,  169.91,  172.50,  192.98,  604.84,  697.11,  737.07,  892.68,  5624.5,73, NAV1,331.0,114.1,114.1,121.7,123.5,  0.886,       ,   5.70, 114.4,   25.1,  141.2,10.2,      0,  NONE,   NONE,      ,      , -94.5, 3DDiff,1852.0,      ,     10,  13.0,     16,2024-02-14 14:12:40
2024-02-14, 14:12:41,  -07:00,   KPRC,   35.0221558, -112.6616440,5710.7,30.14,  5703.3,8.0,64.94,  70.48,-189.4,3.49,-18.48,0.0,-0.08,135.2, 138.4,  28.2,  28.2,   0.7,   0.0,  20.76,  18.32,     1.05,  150.73,   57.96,  980.6,  157.89,  169.80,  172.37,  192.86,  600.09,  692.34,  730.14,  896.15,  5617.9,71, NAV1,331.0,114.1,114.1,121.7,123.5,  0.977,       ,   5.82, 113.1,   25.1,  141.2,10.2,      0,  NONE,   NONE,      ,      , -370.1, 3DDiff,1852.0,      ,     10,  13.0,     16,2024-02-14 14:12:41
2024-02-14, 14:12:42,  -07:00,   KPRC,   35.0218925, -112.6614075,5707.7,30.14,  5692.4,8.0,64.89,  69.75,-196.32,0.69,-21.79,0.0,-0.13,130.0, 133.9,  28.2,  28.2,   0.7,   0.0,  20.71,  18.19,     1.08,  150.65,   57.44,  951.7,  157.77,  169.69,  172.25,  192.76,  599.79,  689.81,  730.21,  899.24,  5607.1,71, NAV1,331.0,114.1,114.1,121.7,123.5,  1.002,       ,   5.90, 112.0,   25.0,  141.2,10.2,      0,  NONE,   NONE,      ,      , -641.7, 3DDiff,1852.0,      ,     10,  13.0,     16,2024-02-14 14:12:42
