Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2023-12-14, 16:37:26,  -07:00,   KPRC,   34.6506653, -112.4264526,5153.9,30.21,  5203.5,11.5,62.55,  61.37,-333.27,-1.1,-2.5,0.05,0.08,28.9,  30.3,  28.2,  28.2,   0.8,  -0.0,  10.23,  14.91,     5.17,  159.04,   66.41, 1769.1,  284.86,  292.50,  296.71,  309.61, 1186.25, 1196.22, 1199.03, 1184.15,  5114.9,68.0,  GPS,355.0,114.1,114.1,121.7,128.75,  0.335,       ,   6.56,  28.5,    0.4,   45.1,10.1,      0,  NONE,   NONE,      ,      , -358.3, 3DDiff,1852.0,      ,      8,  12.0,     16,2023-12-14 16:37:26
2023-12-14, 16:37:27,  -07:00,   KPRC,   34.6508827, -112.4262314,5145.9,30.21,  5198.7,11.5,60.95,  61.29,-331.06,-1.05,-3.13,0.07,0.03,29.9,  30.2,  28.2,  28.2,   0.8,   0.0,  10.23,  14.81,     5.18,  159.02,   66.62, 1778.1,  284.79,  292.38,  296.63,  309.52, 1186.53, 1197.67, 1199.55, 1185.86,  5110.1,66.0,  GPS,355.0,114.1,114.1,121.7,128.75,  0.325,       ,   6.46,  29.1,    0.4,   45.7,10.1,      0,  NONE,   NONE,      ,      , -338.6, 3DDiff,1852.0,      ,      8,  11.5,     15,2023-12-14 16:37:27
2023-12-14, 16:37:28,  -07:00,   KPRC,   34.6511002, -112.4260101,5138.9,30.21,  5192.8,11.5,60.88,  61.29,-379.14,-1.33,-3.01,0.06,0.0,29.6,  30.3,  28.2,  28.2,   0.8,   0.0,  10.28,  14.81,     5.16,  159.01,   66.73, 1770.5,  284.72,  292.29,  296.57,  309.41, 1186.95, 1198.44, 1200.32, 1186.12,  5104.2,66.0,  GPS,355.0,114.1,114.1,121.7,128.75,  0.315,       ,   6.38,  29.7,    0.4,   46.4,10.1,      0,  NONE,   NONE,      ,      , -366.1, 3DDiff,1852.0,      ,      8,  11.5,     16,2023-12-14 16:37:28
2023-12-14, 16:37:29,  -07:00,   KPRC,   34.6513138, -112.4257812,5133.9,30.21,  5185.8,11.5,60.95,  61.25,-378.71,-1.13,-2.66,0.02,0.01,29.1,  30.5,  28.2,  28.2,   0.9,   0.0,  10.35,  14.64,     5.13,  158.99,   66.55, 1771.5,  284.61,  292.11,  296.43,  309.27, 1187.08, 1198.99, 1200.29, 1187.24,  5097.3,66.0,  GPS,355.0,114.1,114.1,121.7,128.75,  0.306,       ,   6.30,  30.2,    0.4,   47.1,10.1,      0,  NONE,   NONE,      ,      , -409.4, 3DDiff,1852.0,      ,      8,  11.5,     16,2023-12-14 16:37:29
2023-12-14, 16:37:30,  -07:00,   KPRC,   34.6515312, -112.4255600,5127.9,30.21,  5178.6,11.5,61.34,  61.19,-368.51,-1.87,-1.53,0.04,-0.1,29.5,  30.7,  28.1,  28.2,   0.9,  -0.0,  10.35,  14.54,     5.27,  158.97,   66.81, 1784.3,  284.39,  291.89,  296.23,  309.02, 1186.96, 1199.38, 1201.63, 1188.26,  5090.1,67.0,  GPS,355.0,114.1,114.1,121.7,128.75,  0.296,       ,   6.21,  30.6,    0.4,   47.8,10.1,      0,  NONE,   NONE,      ,      , -433.1, 3DDiff,1852.0,      ,      9,  12.0,     16,2023-12-14 16:37:30
2023-12-14, 16:37:31,  -07:00,   KPRC,   34.6517410, -112.4253311,5119.9,30.21,  5170.8,11.5,60.5,  61.25,-379.79,-0.63,-3.9,0.09,0.09,30.6,  31.0,  28.2,  28.2,   0.9,   0.0,  10.42,  14.54,     5.39,  158.95,   66.93, 1798.5,  284.27,  291.73,  296.12,  308.88, 1187.69, 1200.91, 1203.71, 1190.30,  5082.3,66.0,  GPS,355.0,114.1,114.1,121.7,128.75,  0.286,       ,   6.14,  31.0,    0.4,   48.6,10.1,      0,  NONE,   NONE,      ,      , -468.5, 3DDiff,1852.0,      ,      9,  12.0,     16,2023-12-14 16:37:31
2023-12-14, 16:37:32,  -07:00,   KPRC,   34.6519585, -112.4251099,5110.9,30.21,  5165.6,11.5,59.83,  61.41,-461.9,-0.78,-4.98,0.09,-0.08,30.1,  30.9,  28.2,  28.2,   0.9,   0.0,  10.52,  14.47,     5.43,  158.92,   66.95, 1799.9,  284.20,  291.61,  296.04,  308.78, 1189.42, 1203.29, 1205.35, 1191.93,  5077.1,65.0,  GPS,355.0,114.1,114.1,121.7,128.75,  0.276,       ,   6.07,  31.3,    0.3,   49.5,10.1,      0,  NONE,   NONE,      ,      , -342.5, 3DDiff,1852.0,      ,      8,  12.0,     16,2023-12-14 16:37:32
2023-12-14, 16:37:33,  -07:00,   KPRC,   34.6521759, -112.4248886,5106.9,30.21,  5158.2,11.5,60.14,  61.31,-424.46,0.0,-4.24,0.07,0.12,29.2,  30.3,  28.2,  28.2,   0.8,   0.0,  10.64,  14.47,     5.33,  158.90,   66.98, 1798.8,  284.14,  291.50,  295.97,  308.67, 1190.94, 1204.63, 1206.50, 1192.94,  5069.9,65.0,  GPS,355.0,114.1,114.1,121.7,128.75,  0.266,       ,   5.99,  31.5,    0.3,   50.4,10.1,      0,  NONE,   NONE,      ,      , -374.0, 3DDiff,1852.0,      ,      8,  11.5,     15,2023-12-14 16:37:33
2023-12-14, 16:37:34,  -07:00,   KPRC,   34.6523895, -112.4246597,5101.9,30.21,  5153.4,11.5,60.01,  61.27,-360.22,-1.75,-1.05,0.06,-0.1,29.1,  29.9,  28.2,  28.2,   0.8,   0.0,  10.64,  14.39,     5.40,  158.87,   66.93, 1794.2,  284.08,  291.38,  295.90,  308.58, 1192.27, 1204.44, 1207.65, 1193.27,  5065.1,65.0,  GPS,355.0,114.1,114.1,121.7,128.75,  0.256,       ,   5.91,  31.7,    0.3,   51.6,10.1,      0,  NONE,   NONE,      ,      , -299.2, 3DDiff,1852.0,      ,      8,  11.5,     16,2023-12-14 16:37:34
2023-12-14, 16:37:35,  -07:00,   KPRC,   34.6526108, -112.4244461,5097.9,30.21,  5146.1,11.5,60.66,  61.23,-297.08,-1.1,-2.97,0.06,0.01,29.4,  30.3,  28.2,  28.2,   0.8,   0.0,  10.69,  14.35,     5.68,  158.84,   67.33, 1828.9,  284.02,  291.28,  295.83,  308.50, 1193.56, 1204.12, 1208.39, 1194.88,  5057.7,66.0,  GPS,355.0,114.1,114.1,121.7,128.75,  0.246,       ,   5.82,  31.9,    0.3,   52.8,10.1,      0,  NONE,   NONE,      ,      , -413.4, 3DDiff,1852.0,      ,      8,  11.5,     16,2023-12-14 16:37:35
